date_extraction,nom_commune,prix_appartement_bas_m2_location,prix_appartement_haut_m2_location,prix_appartement_moyen_m2_location,prix_maison_bas_m2_location,prix_maison_haut_m2_location,prix_maison_moyen_m2_location
2018-10-15 14:57:12,Montreuil,23.24,32.36,22.98,30.45,31.33,30.44
2018-10-31 14:36:13,Montreuil,23.25,32.27,23.04,29.46,31.23,24.23
2018-10-31 18:43:28,Montreuil,12.77,18.4,13.29,16.43,22.67,16.79
2018-11-04 22:38:12,Montreuil,22.57,32.31,22.29,22.57,32.31,22.29
2018-11-06 09:32:57,Montreuil,22.65,32.29,22.34,22.65,32.29,22.34
2018-11-07 23:35:55,Montreuil,22.7,32.29,22.6,22.7,32.29,22.6
2018-11-11 20:00:01,Montreuil,22.7,32.32,22.65,22.7,32.32,22.65
2018-11-15 19:03:05,Montreuil,22.73,33.33,22.87,22.73,33.33,22.87
2018-11-25 20:00:03,Montreuil,23.24,34.14,23.07,23.24,34.14,23.07
2018-12-02 20:00:03,Montreuil,23.52,33.86,23.22,23.52,33.86,23.22
2018-12-09 20:00:03,Montreuil,23.75,34.08,23.37,23.75,34.08,23.37
2018-12-16 20:00:03,Montreuil,23.79,34.63,23.41,23.79,34.63,23.41
2018-12-23 20:00:02,Montreuil,23.75,34.67,23.48,23.75,34.67,23.48
2018-12-30 20:00:03,Montreuil,23.3,35.0,23.39,23.3,35.0,23.39
2019-01-06 20:00:05,Montreuil,23.24,36.11,23.59,23.24,36.11,23.59
2019-01-20 20:00:03,Montreuil,23.3,36.22,23.91,23.3,36.22,23.91
2019-01-27 20:00:03,Montreuil,23.3,36.28,23.91,23.3,36.28,23.91
2018-10-17 09:53:16,Paris,43.31,67.65,42.95,1.58,1.58,1.58
2018-10-31 17:50:17,Paris,12.34,27.98,15.32,19.97,40.72,20.59
2018-10-31 18:43:28,Paris,21.05,32.94,22.42,10.0,14.67,10.57
2018-11-04 22:38:12,Paris,43.14,67.65,44.02,43.14,67.65,44.02
2018-11-06 09:32:57,Paris,43.14,67.65,44.41,43.14,67.65,44.41
2018-11-07 23:35:55,Paris,43.38,67.65,45.18,43.38,67.65,45.18
2018-11-11 20:00:01,Paris,43.14,67.65,44.92,43.14,67.65,44.92
2018-10-17 09:53:16,Paris,39.73,59.09,40.56,1.58,1.58,1.58
2018-10-31 17:50:17,Paris,14.58,15.52,14.58,10.46,18.0,11.93
2018-10-31 18:43:28,Paris,14.04,20.62,13.69,10.46,18.0,11.93
2018-11-04 22:38:12,Paris,38.68,67.09,40.94,38.68,67.09,40.94
2018-11-06 09:32:57,Paris,38.62,66.08,41.01,38.62,66.08,41.01
2018-11-07 23:35:55,Paris,38.62,67.49,47.72,38.62,67.49,47.72
2018-11-11 20:00:01,Paris,38.71,69.24,48.17,38.71,69.24,48.17
2018-10-17 09:53:16,Paris,40.77,60.22,40.61,1.58,1.58,1.58
2018-10-31 18:43:28,Paris,22.08,42.07,24.95,11.27,12.03,11.27
2018-11-04 22:38:12,Paris,39.56,60.7,40.72,39.56,60.7,40.72
2018-11-06 09:32:57,Paris,39.56,60.46,40.68,39.56,60.46,40.68
2018-11-07 23:35:55,Paris,39.56,60.44,40.74,39.56,60.44,40.74
2018-11-11 20:00:01,Paris,39.58,60.71,40.89,39.58,60.71,40.89
2018-11-15 19:03:05,Paris,39.67,60.71,41.0,39.67,60.71,41.0
2018-11-25 20:00:03,Paris,39.57,60.61,41.62,39.57,60.61,41.62
2018-12-02 20:00:03,Paris,39.6,60.71,41.71,39.6,60.71,41.71
2018-12-09 20:00:03,Paris,39.56,61.13,41.87,39.56,61.13,41.87
2018-12-16 20:00:03,Paris,39.57,60.81,41.96,39.57,60.81,41.96
2018-12-23 20:00:02,Paris,40.0,60.69,41.83,40.0,60.69,41.83
2018-12-30 20:00:03,Paris,39.58,59.62,41.44,39.58,59.62,41.44
2019-01-06 20:00:05,Paris,39.23,59.52,40.83,39.23,59.52,40.83
2019-01-20 20:00:03,Paris,38.69,56.67,40.01,38.69,56.67,40.01
2019-01-27 20:00:03,Paris,38.71,56.67,40.03,38.71,56.67,40.03
2018-10-17 09:53:16,Paris,41.94,67.61,43.11,1.58,1.58,1.58
2018-10-31 18:43:28,Paris,41.72,65.2,42.5,12.39,17.03,13.07
2018-11-04 22:38:12,Paris,41.47,64.71,42.81,41.47,64.71,42.81
2018-11-06 09:32:57,Paris,41.51,64.71,43.04,41.51,64.71,43.04
2018-11-07 23:35:55,Paris,41.58,64.71,43.08,41.58,64.71,43.08
2018-11-11 20:00:01,Paris,41.64,64.34,43.21,41.64,64.34,43.21
2018-10-17 09:53:16,Paris,39.2,58.25,41.42,1.58,1.58,1.58
2018-10-31 14:36:13,Paris,40.32,60.0,41.71,10.84,12.59,10.84
2018-10-31 18:43:28,Paris,12.25,13.22,11.25,26.92,26.92,26.92
2018-11-04 22:38:12,Paris,37.12,56.98,38.72,37.12,56.98,38.72
2018-11-06 09:32:57,Paris,37.16,56.83,38.79,37.16,56.83,38.79
2018-11-07 23:35:55,Paris,37.16,56.72,38.79,37.16,56.72,38.79
2018-11-11 20:00:01,Paris,37.2,56.08,38.87,37.2,56.08,38.87
2018-11-15 19:03:05,Paris,37.29,55.88,38.9,37.29,55.88,38.9
2018-11-25 20:00:03,Paris,37.5,57.14,39.05,37.5,57.14,39.05
2018-12-02 20:00:03,Paris,37.5,57.13,38.97,37.5,57.13,38.97
2018-12-09 20:00:03,Paris,37.5,57.0,38.93,37.5,57.0,38.93
2018-12-16 20:00:03,Paris,37.83,56.63,38.98,37.83,56.63,38.98
2018-12-23 20:00:02,Paris,37.94,56.67,39.0,37.94,56.67,39.0
2018-12-30 20:00:03,Paris,36.87,55.88,38.18,36.87,55.88,38.18
2019-01-06 20:00:05,Paris,37.14,56.52,38.59,37.14,56.52,38.59
2019-01-20 20:00:03,Paris,37.21,56.67,38.97,37.21,56.67,38.97
2019-01-27 20:00:03,Paris,37.23,56.67,39.01,37.23,56.67,39.01
2018-10-17 09:53:16,Paris,41.52,64.26,43.16,43.48,43.48,43.48
2018-10-31 18:43:28,Paris,18.99,29.01,19.33,43.48,43.48,43.48
2018-11-04 22:38:12,Paris,41.38,63.89,43.59,41.38,63.89,43.59
2018-11-06 09:32:57,Paris,41.38,63.77,43.67,41.38,63.77,43.67
2018-11-07 23:35:55,Paris,41.38,63.89,43.65,41.38,63.89,43.65
2018-11-11 20:00:01,Paris,41.22,63.89,43.6,41.22,63.89,43.6
2018-11-15 19:03:05,Paris,40.99,63.89,43.46,40.99,63.89,43.46
2018-11-25 20:00:03,Paris,40.7,63.29,42.97,40.7,63.29,42.97
2018-12-02 20:00:03,Paris,40.78,63.59,42.82,40.78,63.59,42.82
2018-12-09 20:00:03,Paris,40.35,63.59,42.58,40.35,63.59,42.58
2018-12-16 20:00:03,Paris,40.68,63.64,42.61,40.68,63.64,42.61
2018-12-23 20:00:02,Paris,40.7,63.16,42.54,40.7,63.16,42.54
2018-12-30 20:00:03,Paris,40.68,63.16,42.61,40.68,63.16,42.61
2019-01-06 20:00:05,Paris,41.3,62.51,42.9,41.3,62.51,42.9
2019-01-20 20:00:03,Paris,41.48,61.0,43.2,41.48,61.0,43.2
2019-01-27 20:00:03,Paris,41.48,61.0,43.3,41.48,61.0,43.3
2018-10-17 09:53:16,Paris,43.1,64.4,45.15,43.48,43.48,43.48
2018-10-31 14:36:13,Paris,42.59,65.34,44.26,10.84,12.59,10.84
2018-10-31 18:43:28,Paris,21.67,38.22,22.17,16.88,16.88,16.88
2018-11-04 22:38:12,Paris,38.33,61.11,40.8,38.33,61.11,40.8
2018-11-06 09:32:57,Paris,38.33,61.15,40.95,38.33,61.15,40.95
2018-11-07 23:35:55,Paris,38.55,61.13,41.01,38.55,61.13,41.01
2018-11-11 20:00:01,Paris,38.42,61.11,40.88,38.42,61.11,40.88
2018-11-15 19:03:05,Paris,38.55,61.16,40.96,38.55,61.16,40.96
2018-11-25 20:00:03,Paris,38.57,61.11,41.0,38.57,61.11,41.0
2018-12-02 20:00:03,Paris,38.69,61.11,41.1,38.69,61.11,41.1
2018-12-09 20:00:03,Paris,38.81,60.71,41.11,38.81,60.71,41.11
2018-12-16 20:00:03,Paris,38.81,61.65,41.2,38.81,61.65,41.2
2018-12-23 20:00:02,Paris,38.99,61.67,41.29,38.99,61.67,41.29
2018-12-30 20:00:03,Paris,38.4,60.0,40.47,38.4,60.0,40.47
2019-01-06 20:00:05,Paris,38.89,60.0,41.01,38.89,60.0,41.01
2019-01-20 20:00:03,Paris,38.89,60.0,41.1,38.89,60.0,41.1
2019-01-27 20:00:03,Paris,38.89,60.0,41.07,38.89,60.0,41.07
2018-10-17 09:53:16,Paris,40.0,63.9,41.54,Inconnu,Inconnu,Inconnu
2018-10-31 18:43:28,Paris,15.97,25.43,16.85,13.88,15.6,13.22
2018-11-04 22:38:12,Paris,38.28,65.92,41.63,38.28,65.92,41.63
2018-11-06 09:32:57,Paris,37.77,66.67,41.1,37.77,66.67,41.1
2018-11-07 23:35:55,Paris,37.78,66.67,41.12,37.78,66.67,41.12
2018-11-11 20:00:01,Paris,37.78,66.03,41.17,37.78,66.03,41.17
2018-11-15 19:03:05,Paris,37.8,64.97,41.26,37.8,64.97,41.26
2018-11-25 20:00:03,Paris,38.39,64.57,41.57,38.39,64.57,41.57
2018-12-02 20:00:03,Paris,38.39,64.92,41.73,38.39,64.92,41.73
2018-12-09 20:00:03,Paris,38.39,64.69,41.69,38.39,64.69,41.69
2018-12-16 20:00:03,Paris,38.55,64.92,41.81,38.55,64.92,41.81
2018-12-23 20:00:02,Paris,38.89,66.05,41.78,38.89,66.05,41.78
2018-12-30 20:00:03,Paris,37.89,62.97,40.92,37.89,62.97,40.92
2019-01-06 20:00:05,Paris,38.12,64.96,41.09,38.12,64.96,41.09
2019-01-20 20:00:03,Paris,37.76,64.86,40.76,37.76,64.86,40.76
2019-01-27 20:00:03,Paris,37.65,65.79,40.8,37.65,65.79,40.8
2018-10-17 09:53:16,Paris,36.36,56.84,38.19,Inconnu,Inconnu,Inconnu
2018-10-31 14:36:13,Paris,37.23,57.04,38.79,0.08,0.08,0.08
2018-10-31 18:43:28,Paris,18.12,25.22,18.32,15.73,17.88,10.99
2018-11-04 22:38:12,Paris,36.25,59.56,37.94,36.25,59.56,37.94
2018-11-06 09:32:57,Paris,36.25,59.22,37.94,36.25,59.22,37.94
2018-11-07 23:35:55,Paris,36.25,58.95,37.96,36.25,58.95,37.96
2018-11-11 20:00:01,Paris,36.25,57.13,37.75,36.25,57.13,37.75
2018-11-15 19:03:05,Paris,36.25,59.45,37.85,36.25,59.45,37.85
2018-11-25 20:00:03,Paris,36.36,58.72,38.09,36.36,58.72,38.09
2018-12-02 20:00:03,Paris,36.72,58.39,38.35,36.72,58.39,38.35
2018-12-09 20:00:03,Paris,36.91,57.65,38.56,36.91,57.65,38.56
2018-12-16 20:00:03,Paris,36.92,56.99,38.58,36.92,56.99,38.58
2018-12-23 20:00:02,Paris,36.67,56.67,38.26,36.67,56.67,38.26
2018-12-30 20:00:03,Paris,36.11,55.69,37.36,36.11,55.69,37.36
2019-01-06 20:00:05,Paris,36.14,55.33,37.41,36.14,55.33,37.41
