date_extraction,nom_commune,prix_appartement_bas_m2_vente,prix_appartement_haut_m2_vente,prix_appartement_moyen_m2_vente,prix_maison_bas_m2_vente,prix_maison_haut_m2_vente,prix_maison_moyen_m2_vente
2018-10-15 16:03:50,Montreuil,5250.0,7793.34,5372.75,4606.59,7725.02,4736.1
2018-10-31 14:39:05,Montreuil,3495.34,4390.24,3454.25,4528.57,7775.16,4703.25
2018-10-31 18:42:13,Montreuil,1933.12,2598.89,1917.33,2133.33,3228.33,2172.27
2018-11-04 22:39:35,Montreuil,4500.0,7500.0,4763.37,4500.0,7500.0,4763.37
2018-11-06 09:33:17,Montreuil,4264.71,7493.28,4624.96,4264.71,7493.28,4624.96
2018-11-07 23:25:12,Montreuil,1854.29,7150.75,3048.34,1854.29,7150.75,3048.34
2018-11-11 20:30:02,Montreuil,1842.11,7140.81,3028.93,1842.11,7140.81,3028.93
2018-11-15 19:09:09,Montreuil,5195.95,7676.67,5276.53,5195.95,7676.67,5276.53
2018-11-25 20:30:02,Montreuil,1809.09,7083.33,3010.99,1809.09,7083.33,3010.99
2018-12-02 20:30:01,Montreuil,1777.74,7083.33,2982.58,1777.74,7083.33,2982.58
2018-12-16 20:30:01,Montreuil,1740.84,7036.36,2927.1,1740.84,7036.36,2927.1
2018-12-23 20:30:02,Montreuil,1741.67,7013.23,2926.05,1741.67,7013.23,2926.05
2018-12-30 20:30:02,Montreuil,1787.37,7083.33,2995.35,1787.37,7083.33,2995.35
2019-01-06 20:30:02,Montreuil,5223.88,7700.0,5276.12,5223.88,7700.0,5276.12
2019-01-20 20:30:02,Montreuil,1688.31,6842.11,2836.37,1688.31,6842.11,2836.37
2019-01-27 20:30:02,Montreuil,1688.31,6842.11,2836.37,1688.31,6842.11,2836.37
2018-10-17 09:57:41,Paris,12000.0,14718.75,12557.53,3850.93,3850.93,3850.93
2018-10-25 13:38:53,Paris,12000.0,15000.0,12638.67,3850.93,3850.93,3850.93
2018-10-31 17:50:48,Paris,2476.14,3457.86,2430.6,1806.25,2779.32,1896.66
2018-10-31 18:42:13,Paris,2596.49,4037.16,2816.1,2933.69,3759.21,2933.7
2018-11-04 22:39:35,Paris,13083.33,19369.37,12418.13,13083.33,19369.37,12418.13
2018-11-06 09:33:17,Paris,13020.0,19369.37,12306.85,13020.0,19369.37,12306.85
2018-11-07 23:25:12,Paris,1942.33,16062.92,4754.91,1942.33,16062.92,4754.91
2018-11-11 20:30:02,Paris,1883.87,14619.79,3958.85,1883.87,14619.79,3958.85
2018-10-17 09:57:41,Paris,12000.0,14718.75,12557.53,2296.88,2296.88,2296.88
2018-10-25 13:38:53,Paris,12000.0,15000.0,12638.67,2296.88,2296.88,2296.88
2018-10-31 18:42:13,Paris,5842.81,8000.0,5801.65,2296.88,2296.88,2296.88
2018-11-04 22:39:35,Paris,12093.81,15227.27,12006.42,12093.81,15227.27,12006.42
2018-11-06 09:33:17,Paris,12093.02,15151.03,11974.61,12093.02,15151.03,11974.61
2018-11-07 23:25:12,Paris,12131.15,15227.27,12364.74,12131.15,15227.27,12364.74
2018-11-11 20:30:02,Paris,12136.36,15227.27,12334.43,12136.36,15227.27,12334.43
2018-10-17 09:57:41,Paris,12450.0,14879.39,12245.43,2296.88,2296.88,2296.88
2018-10-25 13:38:53,Paris,12000.0,15000.0,12638.67,2296.88,2296.88,2296.88
2018-10-31 18:42:13,Paris,1969.77,2178.08,1867.4,5236.01,7796.03,5101.96
2018-11-04 22:39:35,Paris,12669.54,16008.6,12749.86,12669.54,16008.6,12749.86
2018-11-06 09:33:17,Paris,12685.69,15945.52,12728.16,12685.69,15945.52,12728.16
2018-11-07 23:25:12,Paris,11470.59,15247.52,9358.5,11470.59,15247.52,9358.5
2018-11-11 20:30:02,Paris,11944.44,15468.75,10409.66,11944.44,15468.75,10409.66
2018-11-15 19:09:09,Paris,12674.42,15900.0,12746.55,12674.42,15900.0,12746.55
2018-11-25 20:30:02,Paris,11262.14,15228.29,9158.16,11262.14,15228.29,9158.16
2018-12-02 20:30:01,Paris,11723.23,15346.63,9916.38,11723.23,15346.63,9916.38
2018-12-09 20:30:02,Paris,11447.37,15344.83,9323.18,11447.37,15344.83,9323.18
2018-12-16 20:30:01,Paris,12836.73,16153.85,12856.48,12836.73,16153.85,12856.48
2018-12-23 20:30:02,Paris,12836.73,16217.86,12875.17,12836.73,16217.86,12875.17
2018-12-30 20:30:02,Paris,11595.9,15769.23,9615.79,11595.9,15769.23,9615.79
2019-01-06 20:30:02,Paris,10918.72,15890.29,8821.73,10918.72,15890.29,8821.73
2019-01-20 20:30:02,Paris,10660.38,15900.0,8691.57,10660.38,15900.0,8691.57
2019-01-27 20:30:02,Paris,10446.27,15852.39,8665.31,10446.27,15852.39,8665.31
2018-10-17 09:57:41,Paris,13500.0,21007.9,14269.83,2296.88,2296.88,2296.88
2018-10-25 13:38:53,Paris,13429.55,20750.0,14020.58,2296.88,2296.88,2296.88
2018-10-31 18:42:13,Paris,2775.07,2958.36,2775.08,4533.49,6617.14,4743.75
2018-11-04 22:39:35,Paris,14047.62,21077.73,14632.88,14047.62,21077.73,14632.88
2018-11-06 09:33:17,Paris,14921.23,15143.81,14921.22,14921.23,15143.81,14921.22
2018-11-07 23:25:12,Paris,14137.93,21087.9,14665.03,14137.93,21087.9,14665.03
2018-11-11 20:30:02,Paris,14148.94,21200.0,14709.33,14148.94,21200.0,14709.33
2018-10-17 09:57:41,Paris,13500.0,21007.9,14269.83,2296.88,2296.88,2296.88
2018-10-25 13:38:53,Paris,13429.55,20750.0,14020.58,2296.88,2296.88,2296.88
2018-10-31 14:39:05,Paris,3851.85,5882.97,3930.59,5195.24,12095.74,5694.49
2018-10-31 18:42:13,Paris,2962.96,4252.86,3117.14,2965.65,4045.0,3126.85
2018-11-04 22:39:35,Paris,13324.56,18298.52,13710.07,13324.56,18298.52,13710.07
2018-11-06 09:33:17,Paris,13333.33,18295.77,13728.26,13333.33,18295.77,13728.26
2018-11-07 23:25:12,Paris,13333.33,18285.71,13685.87,13333.33,18285.71,13685.87
2018-11-11 20:30:02,Paris,13333.33,18285.71,13669.01,13333.33,18285.71,13669.01
2018-11-15 19:09:09,Paris,13333.33,18285.71,13655.99,13333.33,18285.71,13655.99
2018-11-25 20:30:02,Paris,11363.64,17885.71,8783.6,11363.64,17885.71,8783.6
2018-12-02 20:30:01,Paris,13392.86,18285.71,13639.63,13392.86,18285.71,13639.63
2018-12-09 20:30:02,Paris,12260.5,17885.71,10030.46,12260.5,17885.71,10030.46
2018-12-16 20:30:01,Paris,11363.64,17885.71,8729.87,11363.64,17885.71,8729.87
2018-12-23 20:30:02,Paris,12000.0,17885.71,9663.62,12000.0,17885.71,9663.62
2018-12-30 20:30:02,Paris,12298.51,17885.71,10112.13,12298.51,17885.71,10112.13
2019-01-06 20:30:02,Paris,9261.74,17727.27,7861.79,9261.74,17727.27,7861.79
2019-01-20 20:30:02,Paris,11385.71,17727.27,8457.8,11385.71,17727.27,8457.8
2019-01-27 20:30:02,Paris,11406.25,17727.27,8531.13,11406.25,17727.27,8531.13
2018-10-17 09:57:41,Paris,14857.14,19100.0,15010.65,33000.0,33000.0,33000.0
2018-10-25 13:38:53,Paris,14857.14,19014.29,14970.47,33000.0,33000.0,33000.0
2018-10-31 18:42:13,Paris,3883.72,4935.68,3925.34,33000.0,33000.0,33000.0
2018-11-04 22:39:35,Paris,15315.79,21888.22,15852.59,15315.79,21888.22,15852.59
2018-11-06 09:33:17,Paris,15322.58,21780.48,15855.1,15322.58,21780.48,15855.1
2018-11-07 23:25:12,Paris,15322.58,21780.48,15855.1,15322.58,21780.48,15855.1
2018-11-11 20:30:02,Paris,15344.83,21785.71,15883.25,15344.83,21785.71,15883.25
2018-11-15 19:09:09,Paris,15315.79,21768.29,15840.52,15315.79,21768.29,15840.52
2018-11-25 20:30:02,Paris,14464.29,21071.43,13650.47,14464.29,21071.43,13650.47
2018-12-02 20:30:01,Paris,15215.05,22004.36,15827.13,15215.05,22004.36,15827.13
2018-12-09 20:30:02,Paris,15192.31,21917.17,15828.16,15192.31,21917.17,15828.16
2018-12-16 20:30:01,Paris,15273.08,22055.42,15872.37,15273.08,22055.42,15872.37
2018-12-23 20:30:02,Paris,15273.08,22389.19,15897.99,15273.08,22389.19,15897.99
2018-12-30 20:30:02,Paris,15163.93,22472.83,15867.64,15163.93,22472.83,15867.64
2019-01-06 20:30:02,Paris,15000.0,23100.0,15362.87,15000.0,23100.0,15362.87
2019-01-20 20:30:02,Paris,13695.65,21495.33,12424.05,13695.65,21495.33,12424.05
2019-01-27 20:30:02,Paris,13789.47,21666.67,12491.74,13789.47,21666.67,12491.74
2018-10-17 09:57:41,Paris,14568.65,19791.59,14464.29,975.0,975.0,975.0
2018-10-25 13:38:53,Paris,14545.45,19151.29,14301.9,975.0,975.0,975.0
2018-10-31 14:39:05,Paris,14545.45,19151.29,14301.9,975.0,975.0,975.0
2018-10-31 18:42:13,Paris,3294.86,4272.22,3294.72,975.0,975.0,975.0
2018-11-04 22:39:35,Paris,14722.22,22654.44,15535.43,14722.22,22654.44,15535.43
2018-11-07 23:25:12,Paris,11107.33,20061.11,10191.99,11107.33,20061.11,10191.99
2018-11-11 20:30:02,Paris,11500.0,20123.08,10272.47,11500.0,20123.08,10272.47
2018-11-15 19:09:09,Paris,13125.0,20847.24,11760.47,13125.0,20847.24,11760.47
2018-11-25 20:30:02,Paris,10984.25,19886.36,10109.45,10984.25,19886.36,10109.45
2018-12-02 20:30:01,Paris,14361.7,22385.3,14105.13,14361.7,22385.3,14105.13
2018-12-09 20:30:02,Paris,12461.54,20000.0,10748.89,12461.54,20000.0,10748.89
2018-12-16 20:30:01,Paris,10351.3,19686.43,9987.56,10351.3,19686.43,9987.56
2018-12-23 20:30:02,Paris,10375.0,19696.97,10002.8,10375.0,19696.97,10002.8
2018-12-30 20:30:02,Paris,11000.0,19696.97,10071.45,11000.0,19696.97,10071.45
2019-01-06 20:30:02,Paris,6250.0,19651.16,9357.64,6250.0,19651.16,9357.64
2019-01-20 20:30:02,Paris,6450.0,19696.97,9395.37,6450.0,19696.97,9395.37
2019-01-27 20:30:02,Paris,6452.55,19696.97,9389.85,6452.55,19696.97,9389.85
2018-10-17 09:57:41,Paris,12931.03,18520.9,13404.61,975.0,975.0,975.0
2018-10-25 13:38:53,Paris,12909.09,18822.05,13382.71,975.0,975.0,975.0
2018-10-31 18:42:13,Paris,2897.44,3748.55,2813.06,3210.45,3930.44,3195.36
2018-11-04 22:39:35,Paris,13311.11,23731.1,14768.49,13311.11,23731.1,14768.49
2018-11-06 09:33:17,Paris,13306.28,23929.25,14821.1,13306.28,23929.25,14821.1
2018-11-07 23:25:12,Paris,13306.28,23929.25,14821.1,13306.28,23929.25,14821.1
2018-11-11 20:30:02,Paris,13294.8,23756.35,14738.5,13294.8,23756.35,14738.5
2018-11-15 19:09:09,Paris,13294.8,23994.1,14738.97,13294.8,23994.1,14738.97
2018-11-25 20:30:02,Paris,13311.11,24244.5,14749.26,13311.11,24244.5,14749.26
2018-12-02 20:30:01,Paris,13347.46,24158.12,14755.26,13347.46,24158.12,14755.26
2018-12-09 20:30:02,Paris,13311.11,23962.81,14636.07,13311.11,23962.81,14636.07
2018-12-16 20:30:01,Paris,13294.8,23756.35,14520.0,13294.8,23756.35,14520.0
2018-12-23 20:30:02,Paris,13311.11,23682.43,14483.42,13311.11,23682.43,14483.42
2018-12-30 20:30:02,Paris,13164.56,23301.0,14246.89,13164.56,23301.0,14246.89
2019-01-06 20:30:02,Paris,13164.56,23756.35,14368.78,13164.56,23756.35,14368.78
2019-01-20 20:30:02,Paris,13197.94,24733.55,14665.94,13197.94,24733.55,14665.94
2019-01-27 20:30:02,Paris,13250.0,25000.0,14746.56,13250.0,25000.0,14746.56
2018-10-17 09:57:41,Paris,11000.0,14437.5,11073.32,975.0,975.0,975.0
2018-10-25 13:38:53,Paris,11000.0,14204.12,11079.35,975.0,975.0,975.0
2018-10-31 14:39:05,Paris,10991.81,14202.73,11072.77,975.0,975.0,975.0
2018-10-31 18:42:13,Paris,3253.97,5265.3,3439.46,2921.95,3924.96,2962.66
2018-11-04 22:39:35,Paris,11119.79,15245.1,11435.11,11119.79,15245.1,11435.11
2018-11-06 09:33:17,Paris,11126.85,15208.33,11414.64,11126.85,15208.33,11414.64
2018-11-07 23:25:12,Paris,11105.29,14996.25,11357.09,11105.29,14996.25,11357.09
2018-11-11 20:30:02,Paris,11114.58,15085.23,11356.88,11114.58,15085.23,11356.88
2018-11-15 19:09:09,Paris,11135.94,15033.13,11363.53,11135.94,15033.13,11363.53
2018-11-25 20:30:02,Paris,11153.85,15250.0,11609.45,11153.85,15250.0,11609.45
2018-12-02 20:30:01,Paris,11153.85,15206.23,11584.45,11153.85,15206.23,11584.45
2018-12-09 20:30:02,Paris,11153.85,15185.19,11571.99,11153.85,15185.19,11571.99
2018-12-16 20:30:01,Paris,11153.85,15054.22,11525.04,11153.85,15054.22,11525.04
2018-12-23 20:30:02,Paris,11153.85,15039.16,11528.12,11153.85,15039.16,11528.12
2018-12-30 20:30:02,Paris,11167.75,14867.65,11514.42,11167.75,14867.65,11514.42
2019-01-06 20:30:02,Paris,11198.5,15185.19,11511.8,11198.5,15185.19,11511.8
2019-01-20 20:30:02,Paris,11466.67,14872.29,11604.19,11466.67,14872.29,11604.19
2019-01-27 20:30:02,Paris,11481.48,14875.0,11624.88,11481.48,14875.0,11624.88
2018-10-17 09:57:41,Paris,10098.04,12478.12,9989.98,6081.63,6081.63,6081.63
2018-10-25 13:38:53,Paris,10104.17,12473.44,10035.75,6059.18,6079.39,6059.18
2018-10-31 14:39:05,Paris,10101.1,12466.52,10032.95,6059.18,6079.39,6059.18
2018-10-31 18:42:13,Paris,2324.32,3413.62,2379.66,2600.0,3666.18,2749.14
2018-11-04 22:39:35,Paris,10106.38,13125.0,10232.59,10106.38,13125.0,10232.59
2018-11-06 09:33:17,Paris,10106.38,13125.0,10236.1,10106.38,13125.0,10236.1
