CODGEO,Libellé commune ou ARM,Région,Département,École maternelle,École maternelle avec cantine,École maternelle appartenant à un EP,École maternelle en RPIC,École maternelle de RPI dispersé,École maternelle de RPI dispersé avec cantine,École maternelle en RPIC appartenant à un EP,École élémentaire,École élémentaire avec cantine,École élémentaire avec classe pré-élémentaire,École élémentaire appartenant à un EP,École élémentaire en RPIC,École élémentaire de RPI dispersé,École élémentaire de RPI dispersé avec cantine,École élémentaire de RPI dispersé avec École pré-élémentaire,École élémentaire de RPI dispersé appartenant à un EP
01001,L'Abergement-Clémenciat,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01002,L'Abergement-de-Varey,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01004,Ambérieu-en-Bugey,84,01,3,3,0,0,0,0,0,4,3,2,0,0,0,0,0,0
01005,Ambérieux-en-Dombes,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01006,Ambléon,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01007,Ambronay,84,01,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
01008,Ambutrix,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01009,Andert-et-Condon,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01010,Anglefort,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01011,Apremont,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
01012,Aranc,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
01013,Arandas,84,01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01014,Arbent,84,01,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0
01015,Arboys en Bugey,84,01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01016,Arbigny,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01017,Argis,84,01,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
01019,Armix,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01021,Ars-sur-Formans,84,01,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0
01022,Artemare,84,01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01023,Asnières-sur-Saône,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01024,Attignat,84,01,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0
01025,Bâgé-la-Ville,84,01,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
01026,Bâgé-le-Châtel,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
01027,Balan,84,01,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
01028,Baneins,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01029,Beaupont,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
01030,Beauregard,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01031,Bellignat,84,01,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
01032,Béligneux,84,01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01033,Bellegarde-sur-Valserine,84,01,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0
01034,Belley,84,01,2,2,0,0,0,0,0,4,4,1,0,0,0,0,0,0
01035,Belleydoux,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01036,Belmont-Luthézieu,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01037,Bénonces,84,01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01038,Bény,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01039,Béon,84,01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01040,Béréziat,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
01041,Bettant,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01042,Bey,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01043,Beynost,84,01,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
01044,Billiat,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01045,Birieux,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01046,Biziat,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
01047,Blyes,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01049,La Boisse,84,01,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
01050,Boissey,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
01051,Bolozon,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01052,Bouligneux,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01053,Bourg-en-Bresse,84,01,3,3,0,0,0,0,0,20,20,16,0,0,0,0,0,0
01054,Bourg-Saint-Christophe,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
01056,Boyeux-Saint-Jérôme,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01057,Boz,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01058,Brégnier-Cordon,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01059,Brénaz,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01060,Brénod,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01061,Brens,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01062,Bressolles,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01063,Brion,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01064,Briord,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01065,Buellas,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01066,La Burbanche,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01067,Ceignes,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01068,Cerdon,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01069,Certines,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
01071,Cessy,84,01,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
01072,Ceyzériat,84,01,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
01073,Ceyzérieu,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01074,Chalamont,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01075,Chaleins,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01076,Chaley,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01077,Challes-la-Montagne,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01078,Challex,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01079,Champagne-en-Valromey,84,01,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0
01080,Champdor-Corcelles,84,01,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
01081,Champfromier,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01082,Chanay,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01083,Chaneins,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01084,Chanoz-Châtenay,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
01085,La Chapelle-du-Châtelard,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01087,Charix,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01088,Charnoz-sur-Ain,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01089,Château-Gaillard,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01090,Châtenay,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
01091,Châtillon-en-Michaille,84,01,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0
01092,Châtillon-la-Palud,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01093,Châtillon-sur-Chalaronne,84,01,1,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0
01094,Chavannes-sur-Reyssouze,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
01095,Nivigne et Suran,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01096,Chaveyriat,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
01097,Chavornay,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01098,Chazey-Bons,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01099,Chazey-sur-Ain,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01100,Cheignieu-la-Balme,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01101,Chevillard,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01102,Chevroux,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01103,Chevry,84,01,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0
01104,Chézery-Forens,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
01105,Civrieux,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01106,Cize,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01107,Cleyzieu,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01108,Coligny,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01109,Collonges,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01110,Colomieu,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01111,Conand,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01112,Condamine,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01113,Condeissiat,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01114,Confort,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01115,Confrançon,84,01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
01116,Contrevoz,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01117,Conzieu,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01118,Corbonod,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01121,Corlier,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01122,Cormaranche-en-Bugey,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01123,Cormoranche-sur-Saône,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01124,Cormoz,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01125,Corveissiat,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01127,Courmangoux,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01128,Courtes,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01129,Crans,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01130,Cras-sur-Reyssouze,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01133,Cressin-Rochefort,84,01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01134,Crottet,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
01135,Crozet,84,01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
01136,Cruzilles-lès-Mépillat,84,01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
