ID;Name;District;Population;Région;Département;Hypermarché;Supermarché;Grande surface de bricolage;Supérette;Epicerie;Boulangerie;Boucherie charcuterie;Produits surgelés;Poissonnerie;Librairie papeterie journaux;Magasin de vêtements;Magasin d'équipements du foyer;Magasin de chaussures;Magasin d'électroménager et de matériel audio-vidéo;Magasin de meubles;Magasin d'articles de sports et de loisirs;Magasin de revêtements murs et sols;Droguerie quincaillerie bricolage;Parfumerie;Horlogerie Bijouterie;Fleuriste;Magasin d'optique;Magasin de matériel médical et orthopédique;Station service
2996;Aix-en-Provence     ;;;93;13;3;15;6;29;80;98;42;6;6;56;425;56;72;24;49;42;5;35;64;49;37;47;23;15
2995;Amiens              ;;;32;80;1;18;5;17;33;86;48;3;2;26;195;30;36;14;27;23;3;8;13;21;32;28;17;11
2990;Angers              ;;;52;49;5;18;1;14;35;91;36;5;3;45;272;29;53;6;32;24;3;11;29;30;31;48;17;11
3011;Argenteuil          ;;;11;95;1;12;0;3;60;62;43;1;2;13;74;7;6;15;12;10;2;8;16;11;14;24;10;10
3002;Besançon            ;;;27;25;2;13;5;17;41;88;40;3;3;47;238;36;42;22;34;27;4;9;26;30;30;32;18;12
2982;Bordeaux            ;;;75;33;4;34;8;35;165;160;78;6;17;137;641;108;101;33;104;69;2;30;92;69;81;89;30;13
3007;Boulogne-Billancourt;;;11;92;1;25;3;22;44;62;29;6;6;30;169;31;24;19;36;26;3;20;26;16;38;34;12;4
2992;Brest               ;;;53;29;4;22;6;9;39;71;32;5;11;28;211;30;39;12;44;40;3;9;20;28;24;32;15;12
3003;Caen                ;;;28;14;3;21;2;13;43;102;38;3;6;44;230;37;44;12;23;27;2;9;21;21;26;37;13;8
2994;Clermont-Ferrand    ;;;84;63;4;25;5;7;55;92;41;5;3;51;298;45;53;28;35;40;6;15;48;41;43;42;16;18
2991;Dijon               ;;;27;21;3;16;1;15;53;104;50;2;2;51;269;36;50;18;23;28;3;14;24;34;34;35;23;14
2989;Grenoble            ;;;84;38;0;20;3;36;81;122;67;3;6;74;378;43;63;27;44;57;5;13;40;47;35;59;18;6
2984;Le Havre            ;;;28;76;2;23;2;14;87;132;49;3;6;33;198;40;34;17;21;28;1;10;27;20;44;35;11;14
2993;Le Mans             ;;;52;72;2;31;6;3;30;99;47;3;4;37;166;26;47;12;32;29;3;15;30;23;40;44;26;18
2986;Lille               ;;;32;59;4;42;5;30;167;164;75;4;4;70;545;92;103;32;66;45;8;32;77;55;59;61;28;12
2997;Limoges             ;;;75;87;7;17;5;13;45;61;53;7;5;44;233;36;41;14;29;32;3;17;22;27;36;33;19;21
2976;Lyon                ;;;84;69;5;76;11;91;295;386;159;21;11;225;1066;171;187;76;158;135;12;47;176;136;133;172;97;19
2975;Marseille           ;;;93;13;13;125;23;115;654;683;336;26;60;270;1457;156;215;134;149;232;14;106;241;182;206;241;138;65
3001;Metz                ;;;44;57;2;21;4;7;61;109;27;4;1;38;246;29;55;16;35;18;5;12;19;34;33;43;18;14
2981;Montpellier         ;;;76;34;5;28;5;27;213;207;120;6;20;73;437;70;78;35;36;45;4;20;69;67;55;49;37;20
3013;Montreuil           ;;;11;93;2;19;1;7;104;67;39;2;5;29;73;14;14;6;14;10;4;8;11;6;15;29;4;6
3005;Mulhouse            ;;;44;68;4;31;1;9;63;82;34;2;4;27;235;36;29;17;22;16;4;10;20;29;19;32;14;11
3009;Nancy               ;;;44;54;4;18;2;11;46;91;30;3;1;41;241;31;44;12;18;20;2;7;35;29;18;38;15;7
