IDVille;Ville;Date_extraction;Prix_appartement_min;Prix_appartement_max;Prix_appartement_moyen;Prix_maison_min;Prix_maison_max;Prix_maison_moyen
2996;Aix-en-Provence     ;2018-10-31 14:36:13;11;17.5;11.4;9;15.4;9.5
2996;Aix-en-Provence     ;2018-11-02 14:19:14;7.6;12;8.2;7.6;12;8.2
2996;Aix-en-Provence     ;2018-11-03 10:40:17;7.7;12;8.2;7.7;12;8.2
2996;Aix-en-Provence     ;2018-11-04 22:38:12;17.7;28.7;18.9;17.7;28.7;18.9
2996;Aix-en-Provence     ;2018-11-06 09:32:57;17.5;28.6;18.3;17.5;28.6;18.3
2996;Aix-en-Provence     ;2018-11-07 23:35:55;17.8;28.7;19;17.8;28.7;19
2996;Aix-en-Provence     ;2018-11-11 20:00:01;17.8;28.7;19;17.8;28.7;19
2996;Aix-en-Provence     ;2018-11-15 19:03:05;17.8;28.7;19;17.8;28.7;19
2996;Aix-en-Provence     ;2018-11-25 20:00:03;17.8;28.7;19;17.8;28.7;19
2996;Aix-en-Provence     ;2018-12-02 20:00:03;17.8;28.7;19;17.8;28.7;19
2996;Aix-en-Provence     ;2018-12-09 20:00:03;17.8;28.7;19;17.8;28.7;19
2996;Aix-en-Provence     ;2018-12-16 20:00:03;17.8;28.7;19;17.8;28.7;19
2996;Aix-en-Provence     ;2018-12-23 20:00:02;17.8;28.7;19;17.8;28.7;19
2996;Aix-en-Provence     ;2018-12-30 20:00:03;17.9;28.9;19.2;17.9;28.9;19.2
2996;Aix-en-Provence     ;2019-01-06 20:00:05;18.2;29.7;19.6;18.2;29.7;19.6
2996;Aix-en-Provence     ;2019-01-20 20:00:03;18.6;30.4;19.9;18.6;30.4;19.9
2996;Aix-en-Provence     ;2019-01-27 20:00:03;18.6;30.3;19.9;18.6;30.3;19.9
2995;Amiens              ;2018-10-31 14:36:13;14.1;24.7;15.6;10.8;21.8;11.6
2995;Amiens              ;2018-11-04 22:38:12;14.1;24.6;15.5;14.1;24.6;15.5
2995;Amiens              ;2018-11-06 09:32:57;13.9;24.4;15.3;13.9;24.4;15.3
2995;Amiens              ;2018-11-07 23:35:55;13.8;24.4;15.3;13.8;24.4;15.3
2995;Amiens              ;2018-11-11 20:00:01;13.8;24.3;15.3;13.8;24.3;15.3
2995;Amiens              ;2018-11-15 19:03:05;13.9;24.4;15.3;13.9;24.4;15.3
2995;Amiens              ;2018-11-25 20:00:03;14.1;24.4;15.4;14.1;24.4;15.4
2995;Amiens              ;2018-12-02 20:00:03;14.1;24.4;15.4;14.1;24.4;15.4
2995;Amiens              ;2018-12-09 20:00:03;14.1;24.4;15.4;14.1;24.4;15.4
2995;Amiens              ;2018-12-16 20:00:03;14.2;24.4;15.4;14.2;24.4;15.4
2995;Amiens              ;2018-12-23 20:00:02;14.2;24.5;15.5;14.2;24.5;15.5
2995;Amiens              ;2018-12-30 20:00:03;14.2;24.4;16.1;14.2;24.4;16.1
2995;Amiens              ;2019-01-06 20:00:05;14.2;24.7;15.9;14.2;24.7;15.9
2995;Amiens              ;2019-01-20 20:00:03;14.1;24.7;16.4;14.1;24.7;16.4
