Région;Département;École maternelle;École maternelle avec cantine;École maternelle appartenant à un EP;École maternelle en RPIC;École maternelle de RPI dispersé;École maternelle de RPI dispersé avec cantine;École maternelle en RPIC appartenant à un EP;École élémentaire;École élémentaire avec cantine;École élémentaire avec classe pré-élémentaire;École élémentaire appartenant à un EP;École élémentaire en RPIC;École élémentaire de RPI dispersé;École élémentaire de RPI dispersé avec cantine;École élémentaire de RPI dispersé avec École pré-élémentaire;École élémentaire de RPI dispersé appartenant à un EP;ID;Name;District;Population
93;13;37;34;4;0;0;0;0;51;46;12;4;0;0;0;0;0;2996;Aix-en-Provence     ;;
32;80;34;34;21;0;0;0;0;60;59;25;29;0;0;0;0;0;2995;Amiens              ;;
52;49;23;23;10;0;0;0;0;55;50;30;12;0;0;0;0;0;2990;Angers              ;;
11;95;28;26;22;0;0;0;0;29;27;2;20;0;0;0;0;0;3011;Argenteuil          ;;
27;25;36;35;8;0;0;0;0;38;38;11;4;0;0;0;0;0;3002;Besançon            ;;
75;33;45;44;13;0;0;0;0;71;65;30;18;0;0;0;0;0;2982;Bordeaux            ;;
11;92;18;17;0;0;0;0;0;20;18;8;0;0;0;0;0;0;3007;Boulogne-Billancourt;;
53;29;13;12;1;0;0;0;0;53;52;42;8;0;0;0;0;0;2992;Brest               ;;
28;14;13;12;0;0;0;0;0;36;34;25;5;0;0;0;0;0;3003;Caen                ;;
84;63;32;31;12;0;0;0;0;38;34;5;12;0;0;0;0;0;2994;Clermont-Ferrand    ;;
27;21;41;35;9;0;0;0;0;53;38;9;9;0;0;0;0;0;2991;Dijon               ;;
84;38;25;23;6;0;0;0;0;46;37;26;12;0;0;0;0;0;2989;Grenoble            ;;
28;76;50;48;31;0;0;0;0;56;54;13;28;0;0;0;0;0;2984;Le Havre            ;;
52;72;36;35;14;0;0;0;0;52;49;18;11;0;0;0;0;0;2993;Le Mans             ;;
32;59;45;43;24;0;0;0;0;68;63;29;22;0;0;0;0;0;2986;Lille               ;;
75;87;31;29;11;0;0;0;0;40;36;9;12;0;0;0;0;0;2997;Limoges             ;;
84;69;78;71;17;0;0;0;0;135;122;71;18;0;0;0;0;0;2976;Lyon                ;;
93;13;220;210;99;0;0;0;0;290;275;71;99;0;0;0;0;0;2975;Marseille           ;;
44;57;35;19;6;0;0;0;0;37;19;3;6;0;0;0;0;0;3001;Metz                ;;
76;34;53;46;18;0;0;0;0;80;63;26;18;0;0;0;0;0;2981;Montpellier         ;;
11;93;26;24;15;0;0;0;0;26;25;2;14;0;0;0;0;0;3013;Montreuil           ;;
44;68;33;1;27;0;0;0;0;25;3;11;18;0;0;0;0;0;3005;Mulhouse            ;;
44;54;22;19;5;0;0;0;0;33;28;10;5;0;0;0;0;0;3009;Nancy               ;;
52;44;49;49;16;0;0;0;0;96;92;47;18;0;0;0;0;0;2979;Nantes              ;;
93;6;66;61;15;0;0;0;0;113;94;35;17;0;0;0;0;0;2978;Nice                ;;
76;30;40;33;18;0;0;0;0;54;47;17;15;0;0;0;0;0;2998;Nîmes               ;;
24;45;31;30;11;0;0;0;0;41;37;17;10;0;0;0;0;0;3004;Orléans             ;;
11;75;324;306;95;0;0;0;0;502;461;156;121;0;0;0;0;0;2974;Paris               ;;
76;66;29;9;21;0;0;0;0;36;24;10;20;0;0;0;0;0;3008;Perpignan           ;;
44;51;48;43;20;0;0;0;0;60;59;15;22;0;0;0;0;0;2985;Reims               ;;
53;35;35;35;11;0;0;0;0;61;60;25;12;0;0;0;0;0;2983;Rennes              ;;
32;59;17;17;13;0;0;0;0;46;41;27;30;0;0;0;0;0;3010;Roubaix             ;;
28;76;27;27;6;0;0;0;0;37;36;12;7;0;0;0;0;0;3006;Rouen               ;;
84;42;35;31;17;0;0;0;0;67;57;32;19;0;0;0;0;0;2987;Saint-Étienne       ;;
44;67;55;35;26;0;0;0;0;70;48;16;26;0;0;0;0;0;2980;Strasbourg          ;;
93;83;41;33;15;0;0;0;0;52;45;7;16;0;0;0;0;0;2988;Toulon              ;;
76;31;95;90;34;0;0;0;0;125;103;42;29;0;0;0;0;0;2977;Toulouse            ;;
32;59;24;23;19;0;0;0;0;40;36;19;19;0;0;0;0;0;3012;Tourcoing           ;;
24;37;25;23;2;0;0;0;0;46;40;21;2;0;0;0;0;0;2999;Tours               ;;
84;69;24;23;13;0;0;0;0;32;28;8;14;0;0;0;0;0;3000;Villeurbanne        ;;
