Région;Département;Collège;Collège avec cantine;Collège appartenant à un EP;Collège avec internat;Lycée d'enseignement général et/ou technologique;Lycée d'enseignement général et/ou technologique avec cantine;Lycée d'enseignement général et/ou technologique avec prépa grandes écoles;Lycée d'enseignement général et/ou technologique appartenant à un EP;Lycée d'enseignement général et/ou technologique avec internat;Lycée d'enseignement professionnel;Lycée d'enseignement professionnel avec cantine;Lycée d'enseignement professionnel avec prépa grandes écoles;Lycée d'enseignement professionnel appartenant à un EP;Lycée d'enseignement professionnel avec internat;Lycée technique ou/et professionnel agricole;Lycée technique ou/et professionnel agricole avec cantine;Lycée technique ou/et professionnel agricole avec prépa grandes écoles;Lycée technique ou/et professionnel agricole avec internat;SGT : Section d'enseignement général et technologique;SGT : Section d'enseignement général et technologique avec cantine;SGT : Section d'enseignement général et technologique avec internat;SEP : section d'enseignement professionnel;SEP : section d'enseignement professionnel avec cantine;SEP : section d'enseignement professionnel avec internat;ID;Name;District;Population
93;13;15;13;1;2;14;10;5;0;7;12;5;0;0;2;0;0;0;0;0;0;0;0;0;0;2996;Aix-en-Provence     ;;
32;80;16;16;5;5;13;13;2;0;13;12;11;0;1;11;0;0;0;0;0;0;0;1;1;1;2995;Amiens              ;;
52;49;21;19;4;2;11;11;5;0;10;7;4;0;0;5;3;0;1;1;0;0;0;2;0;0;2990;Angers              ;;
11;95;12;12;7;0;6;5;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;3;3;0;3011;Argenteuil          ;;
27;25;11;11;1;2;7;7;4;0;6;10;6;0;0;6;1;0;0;1;1;0;0;2;1;0;3002;Besançon            ;;
75;33;24;24;6;4;24;18;5;0;12;20;11;0;0;5;0;0;0;0;0;0;0;1;1;1;2982;Bordeaux            ;;
11;92;7;7;0;1;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3007;Boulogne-Billancourt;;
53;29;17;15;3;4;14;13;6;0;10;5;3;0;0;2;0;0;0;0;0;0;0;4;3;3;2992;Brest               ;;
28;14;15;15;2;0;12;10;6;0;6;8;5;0;0;1;1;0;0;1;0;0;0;2;1;1;3003;Caen                ;;
84;63;13;13;3;3;10;9;6;0;7;11;8;0;0;7;0;0;0;0;2;2;2;1;1;1;2994;Clermont-Ferrand    ;;
27;21;18;17;1;4;13;10;5;0;12;1;0;0;0;0;0;0;0;0;0;0;0;3;3;3;2991;Dijon               ;;
84;38;15;12;3;0;16;11;4;0;8;5;2;0;0;1;0;0;0;0;0;0;0;4;4;4;2989;Grenoble            ;;
28;76;20;20;13;1;7;7;4;1;4;7;5;0;1;4;0;0;0;0;2;2;1;2;2;0;2984;Le Havre            ;;
52;72;24;24;5;1;9;8;3;0;3;7;3;0;0;1;0;0;0;0;0;0;0;4;2;0;2993;Le Mans             ;;
32;59;22;21;8;3;18;15;7;0;7;13;5;0;0;3;1;0;0;1;0;0;0;0;0;0;2986;Lille               ;;
75;87;14;14;5;4;11;11;3;0;10;8;5;0;0;5;0;0;0;0;0;0;0;5;0;0;2997;Limoges             ;;
84;69;45;43;6;6;42;36;15;0;16;25;13;0;0;7;1;0;0;0;0;0;0;3;3;2;2976;Lyon                ;;
93;13;96;88;32;4;51;45;9;0;10;41;31;0;2;5;1;0;0;1;2;2;1;4;4;3;2975;Marseille           ;;
44;57;14;14;2;2;11;9;4;0;8;5;4;0;0;2;0;0;0;0;0;0;0;2;2;2;3001;Metz                ;;
76;34;27;27;6;2;12;11;4;1;8;12;3;0;0;3;1;0;1;1;4;3;3;4;4;3;2981;Montpellier         ;;
11;93;12;12;6;0;7;7;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0;2;1;0;3013;Montreuil           ;;
44;68;9;9;7;1;7;6;4;0;5;6;3;0;0;3;0;0;0;0;0;0;0;1;1;1;3005;Mulhouse            ;;
44;54;14;14;1;1;12;11;4;0;6;7;6;0;0;4;0;0;0;0;0;0;0;0;0;0;3009;Nancy               ;;
52;44;32;30;5;5;22;20;10;0;14;11;5;1;0;6;2;0;0;1;1;0;0;6;1;1;2979;Nantes              ;;
93;6;33;31;4;2;24;19;4;0;10;12;9;1;0;8;0;0;0;0;0;0;0;3;3;2;2978;Nice                ;;
76;30;18;16;6;2;10;8;4;0;7;8;5;0;1;4;0;0;0;0;0;0;0;4;3;2;2998;Nîmes               ;;
24;45;12;12;3;1;9;8;4;0;6;6;4;0;0;3;2;0;0;2;0;0;0;3;3;2;3004;Orléans             ;;
11;75;193;181;29;4;188;136;46;0;14;49;28;0;0;1;1;0;0;0;0;0;0;29;28;0;2974;Paris               ;;
76;66;13;13;6;1;8;7;2;0;5;3;1;0;0;1;0;0;0;0;1;1;1;4;4;4;3008;Perpignan           ;;
44;51;18;18;7;3;13;13;4;0;10;6;5;0;0;4;0;0;0;0;0;0;0;4;4;3;2985;Reims               ;;
53;35;19;19;5;2;15;15;6;0;13;9;6;0;0;6;1;0;0;1;0;0;0;4;4;3;2983;Rennes              ;;
32;59;12;12;6;1;7;6;1;0;2;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3010;Roubaix             ;;
28;76;13;13;3;4;10;10;4;0;7;6;2;1;0;2;0;0;0;0;0;0;0;3;3;2;3006;Rouen               ;;
84;42;19;17;6;0;12;11;3;0;9;11;6;0;0;7;1;0;0;1;0;0;0;1;1;1;2987;Saint-Étienne       ;;
44;67;32;26;8;4;26;19;8;0;11;8;3;0;0;3;0;0;0;0;0;0;0;4;4;2;2980;Strasbourg          ;;
93;83;14;14;4;0;9;7;2;0;4;7;5;0;0;3;0;0;0;0;1;1;0;2;2;1;2988;Toulon              ;;
76;31;39;35;9;3;28;20;7;0;14;25;14;0;1;8;0;0;0;0;7;2;0;7;7;4;2977;Toulouse            ;;
32;59;10;9;4;0;8;8;1;0;3;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;3012;Tourcoing           ;;
24;37;20;18;0;3;11;10;2;0;7;12;7;0;0;3;2;0;0;2;3;2;1;1;0;0;2999;Tours               ;;
84;69;11;11;3;0;5;5;0;0;0;4;3;0;0;2;0;0;0;0;0;0;0;1;1;0;3000;Villeurbanne        ;;
