ID;Name;District;Population;Code commune;Région;Département;Police;Gendarmerie;Cour d'appel;Tribunal de grande instance;Tribunal d'instance;Conseil des prud'hommes;Tribunal de commerce;Réseau spécialisé pôle emploi;DGFiP;DRFiP;DDFiP;Réseau de proximité pôle emploi;Réseau partenarial pôle emploi;Maison de justice et du droit;Antenne de justice;Conseil départemental d’accès au droit;Banques, caisses d'épargne;Pompes funèbres;Bureau de poste;Relais poste;Agence postale;Réparation auto et de matériel agricole;Contrôle technique auto;Location auto-utilitaires légers;École de conduite;Maçon;Plâtrier, peintre;Menuisier, charpentier, serrurier;Plombier, couvreur, chauffagiste;Électricien;Entreprise générale du bâtiment;Coiffure;Vétérinaire;Agence de travail temporaire;Restaurant;Agence immobilière;Blanchisserie teinturerie;Soins de beauté
2996;Aix-en-Provence     ;;;13001;93;13;1;1;1;1;1;1;1;0;0;19;0;2;10;1;0;0;136;23;11;1;0;187;11;36;39;360;191;140;199;192;62;241;34;85;874;441;34;158
2995;Amiens              ;;;80021;32;80;2;0;1;1;1;1;1;1;0;0;20;3;6;1;0;1;77;15;11;0;0;86;8;16;45;99;120;59;89;81;58;178;14;31;424;141;19;81
2990;Angers              ;;;49007;52;49;1;1;1;1;1;1;1;1;0;0;23;4;0;1;0;1;115;12;14;3;0;94;13;9;53;44;157;54;99;57;36;193;14;55;471;204;31;82
3011;Argenteuil          ;;;95018;11;95;1;0;0;0;0;1;0;0;0;0;7;1;0;1;0;0;29;11;8;1;0;183;6;42;31;215;284;145;284;191;273;117;3;7;342;80;22;42
3002;Besançon            ;;;25056;27;25;1;1;1;1;1;1;1;1;0;0;23;3;0;0;0;1;89;8;10;0;1;90;11;15;40;86;132;67;89;67;33;164;6;40;416;157;23;73
2982;Bordeaux            ;;;33063;75;33;9;0;1;1;1;1;1;2;2;38;0;4;0;1;0;1;214;18;23;8;0;165;10;47;71;396;608;241;239;186;119;408;33;117;2085;800;81;257
3007;Boulogne-Billancourt;;;92012;11;92;1;0;0;0;1;1;0;0;0;0;8;1;0;0;0;0;69;10;5;4;0;36;4;39;18;93;170;90;114;82;170;116;13;14;583;445;49;100
2992;Brest               ;;;29019;53;29;1;0;0;1;1;1;1;1;0;1;15;3;12;0;0;0;89;11;11;2;0;104;16;8;38;79;205;73;100;89;32;196;13;45;328;122;29;57
3003;Caen                ;;;14118;28;14;1;0;1;1;1;1;1;1;0;0;26;1;6;0;0;1;113;15;14;2;0;65;5;19;36;75;109;71;84;51;53;174;15;57;489;163;35;108
2994;Clermont-Ferrand    ;;;63113;84;63;2;0;0;1;1;1;1;1;0;0;26;4;2;0;0;1;165;11;12;3;0;130;11;16;48;154;285;117;122;128;38;213;12;45;678;178;36;95
2991;Dijon               ;;;21231;27;21;1;0;1;1;1;1;1;1;1;25;0;3;2;0;0;1;121;13;11;2;0;98;12;16;47;82;212;85;127;122;25;243;22;59;581;192;18;107
2989;Grenoble            ;;;38185;84;38;1;0;1;1;1;1;1;1;0;0;35;3;1;1;0;1;128;10;13;1;0;123;9;20;36;131;286;125;154;128;83;266;16;65;1072;268;44;154
2984;Le Havre            ;;;76351;28;76;7;1;0;1;1;1;1;1;0;12;0;3;0;1;0;0;98;17;17;1;3;139;16;18;40;79;123;98;92;84;61;226;16;43;512;121;19;109
2993;Le Mans             ;;;72181;52;72;1;0;0;1;1;1;1;1;0;0;23;3;0;0;0;1;109;15;10;2;0;124;17;23;52;90;119;84;132;79;48;215;12;54;365;165;33;103
2986;Lille               ;;;59350;32;59;6;1;0;1;1;1;0;1;2;41;0;5;5;0;0;1;181;27;20;0;0;138;24;40;52;115;286;133;239;144;137;310;25;111;1659;349;47;121
2997;Limoges             ;;;87085;75;87;6;0;1;1;1;1;1;1;0;0;20;3;2;1;0;1;85;7;16;2;0;126;16;15;34;92;130;76;93;83;52;203;14;34;429;167;28;76
2976;Lyon                ;;;69123;84;69;10;1;1;1;1;1;1;2;2;49;0;7;0;1;1;1;350;49;36;8;0;305;23;75;143;311;969;332;386;378;129;789;57;270;3006;1021;166;463
2975;Marseille           ;;;13055;93;13;1;1;0;1;1;1;1;1;2;48;0;11;64;0;0;1;409;99;67;5;0;1007;64;93;187;2343;1682;808;1108;1063;332;1116;84;146;3814;1356;162;673
3001;Metz                ;;;57463;44;57;7;1;1;1;1;1;1;0;0;0;21;3;0;0;0;1;86;12;11;1;0;133;5;20;23;187;182;71;188;92;52;191;10;67;558;144;20;95
2981;Montpellier         ;;;34172;76;34;1;1;1;1;1;1;1;0;0;0;29;2;0;1;0;1;163;15;20;0;0;201;16;42;68;1024;709;235;352;368;160;378;45;79;1504;526;71;266
3013;Montreuil           ;;;93048;11;93;0;0;0;0;1;0;0;0;2;2;4;1;0;0;0;0;35;13;6;2;0;104;5;21;22;392;410;224;263;220;509;87;7;4;478;77;33;50
3005;Mulhouse            ;;;68224;44;68;1;0;0;1;1;1;1;1;0;0;15;4;0;1;0;0;64;13;11;0;0;118;7;18;31;130;190;54;105;74;24;177;8;47;486;107;20;91
3009;Nancy               ;;;54395;44;54;6;0;1;1;1;1;1;0;1;0;20;4;0;1;0;1;79;7;13;1;0;63;6;12;40;54;139;54;82;53;49;176;9;44;550;153;23;75
2979;Nantes              ;;;44109;52;44;1;1;0;1;1;1;1;0;1;33;1;7;0;1;0;1;214;26;24;0;0;143;13;29;65;227;384;184;217;143;75;382;47;123;1346;644;62;158
2978;Nice                ;;;6088;93;6;1;1;0;1;1;1;1;1;0;1;38;4;11;1;0;1;226;62;28;4;0;512;23;101;94;2107;1499;545;686;710;339;711;54;77;2333;1280;134;589
2998;Nîmes               ;;;30189;76;30;1;1;1;1;1;1;1;1;0;0;21;3;1;1;0;1;90;29;10;1;0;185;13;20;42;458;344;138;186;209;85;239;22;32;760;186;29;114
3004;Orléans             ;;;45234;24;45;4;0;1;1;1;1;1;1;1;27;0;1;0;1;0;1;88;10;11;0;0;65;9;15;30;64;116;71;101;70;45;165;13;99;372;144;20;77
2974;Paris               ;;;75056;11;75;53;0;1;1;20;1;1;11;20;194;0;15;5;3;0;1;1865;212;173;24;0;816;33;723;368;4279;5718;2350;3258;2366;6727;3721;207;857;20375;8292;1273;2864
3008;Perpignan           ;;;66136;76;66;1;0;0;1;1;1;1;0;0;0;19;2;0;0;0;1;78;18;13;1;2;213;17;28;40;373;251;121;176;146;75;222;23;41;656;325;29;104
2985;Reims               ;;;51454;44;51;1;0;1;1;1;1;1;1;0;0;13;3;4;1;0;0;104;29;13;4;0;172;11;33;60;143;193;121;161;118;84;232;23;40;505;168;33;132
2983;Rennes              ;;;35238;53;35;1;0;1;1;1;1;1;1;2;36;0;5;9;0;0;1;162;17;18;5;0;80;6;14;48;167;161;74;89;73;45;231;17;106;803;285;45;90
3010;Roubaix             ;;;59512;32;59;1;0;0;0;1;1;0;1;0;7;0;2;1;1;0;0;33;15;8;1;0;114;9;7;28;167;185;91;145;102;147;107;3;10;422;59;17;36
3006;Rouen               ;;;76540;28;76;4;1;1;1;1;1;1;1;0;25;0;4;0;1;0;1;88;20;12;2;0;88;6;23;29;99;158;89;91;71;88;203;13;75;666;189;27;96
2987;Saint-Étienne       ;;;42218;84;42;2;1;0;1;1;1;1;1;0;0;20;4;0;1;0;1;123;23;19;8;0;221;14;20;42;156;408;124;182;165;66;249;12;57;686;185;27;96
2980;Strasbourg          ;;;67482;44;67;3;1;0;1;1;1;1;1;0;30;0;4;0;1;0;1;198;24;28;1;0;218;18;27;71;217;462;151;202;194;56;381;27;108;1286;454;65;195
2988;Toulon              ;;;83137;93;83;1;0;0;1;1;1;1;1;0;0;32;2;0;1;0;1;88;32;14;0;0;171;9;26;54;502;473;143;220;187;51;280;28;62;740;276;41;155
2977;Toulouse            ;;;31555;76;31;12;0;1;1;1;1;1;2;2;41;0;9;1;2;0;1;266;24;35;4;0;342;24;53;88;646;1001;397;454;404;157;593;57;167;2083;1129;107;342
3012;Tourcoing           ;;;59599;32;59;2;0;0;0;1;1;1;0;0;8;0;1;1;1;0;0;22;8;7;0;0;92;5;9;21;90;133;84;139;108;67;90;7;15;286;44;11;52
2999;Tours               ;;;37261;24;37;3;0;0;1;1;1;1;1;0;0;26;2;0;0;0;1;119;7;13;3;1;81;8;11;32;81;128;73;79;66;32;205;12;51;555;246;33;88
3000;Villeurbanne        ;;;69266;84;69;1;0;0;0;1;0;0;1;0;3;0;2;0;1;0;0;55;9;7;3;0;161;7;22;42;178;560;136;214;189;48;172;6;37;475;109;29;87
