Région;Département;Taxi;Aéroport;Gare avec desserte (TAGV);Gare sans desserte (TAGV);Agence de voyage;Hôtel;Camping;Information Touristique;ID;Name;District;Population
93;13;85;0;1;1;62;47;2;21;2996;Aix-en-Provence     ;;
32;80;35;0;0;2;16;20;1;7;2995;Amiens              ;;
52;49;18;0;1;1;35;29;1;13;2990;Angers              ;;
11;95;467;0;0;2;12;5;0;6;3011;Argenteuil          ;;
27;25;33;0;1;1;15;24;0;4;3002;Besançon            ;;
75;33;137;0;1;1;88;74;0;67;2982;Bordeaux            ;;
11;92;235;0;0;0;58;20;0;38;3007;Boulogne-Billancourt;;
53;29;42;0;1;0;17;31;1;4;2992;Brest               ;;
28;14;21;0;0;1;19;35;0;14;3003;Caen                ;;
84;63;54;0;0;3;26;42;0;10;2994;Clermont-Ferrand    ;;
27;21;40;0;1;1;31;43;1;24;2991;Dijon               ;;
84;38;30;0;1;0;41;32;0;15;2989;Grenoble            ;;
28;76;86;1;1;1;18;28;0;5;2984;Le Havre            ;;
52;72;33;1;1;0;31;25;0;3;2993;Le Mans             ;;
32;59;183;0;2;5;86;54;0;22;2986;Lille               ;;
75;87;32;1;1;1;19;43;1;8;2997;Limoges             ;;
84;69;354;0;2;4;222;112;0;74;2976;Lyon                ;;
93;13;725;0;1;11;200;108;0;101;2975;Marseille           ;;
44;57;39;0;1;1;36;26;1;4;3001;Metz                ;;
76;34;102;0;1;0;59;62;0;32;2981;Montpellier         ;;
11;93;391;0;0;0;21;5;0;17;3013;Montreuil           ;;
44;68;21;0;1;2;21;18;1;4;3005;Mulhouse            ;;
44;54;26;0;1;0;22;24;0;11;3009;Nancy               ;;
52;44;115;0;1;2;78;57;1;28;2979;Nantes              ;;
93;6;667;1;1;13;144;177;0;96;2978;Nice                ;;
76;30;45;0;1;1;28;33;1;11;2998;Nîmes               ;;
24;45;38;0;0;1;23;24;0;7;3004;Orléans             ;;
11;75;4959;0;4;30;1766;1573;1;1457;2974;Paris               ;;
76;66;33;1;1;0;27;37;1;18;3008;Perpignan           ;;
44;51;69;0;1;2;30;45;0;11;2985;Reims               ;;
53;35;37;0;1;2;51;37;1;19;2983;Rennes              ;;
32;59;23;0;1;0;18;5;0;2;3010;Roubaix             ;;
28;76;35;0;1;0;29;39;0;15;3006;Rouen               ;;
84;42;54;0;1;4;26;20;1;6;2987;Saint-Étienne       ;;
44;67;194;0;1;1;73;78;1;44;2980;Strasbourg          ;;
93;83;44;0;1;0;15;20;0;9;2988;Toulon              ;;
76;31;208;0;1;9;112;103;2;46;2977;Toulouse            ;;
32;59;37;0;1;0;6;5;0;4;3012;Tourcoing           ;;
24;37;34;1;1;0;30;44;0;12;2999;Tours               ;;
84;69;133;0;0;0;15;6;0;6;3000;Villeurbanne        ;;
