idCatAge;idProfession;idSexe;idVille;pourcentage retraites;pourcentage_adultes;pourcentage_agriculteurs;pourcentage_artisans_commercants;pourcentage_autres;pourcentage_cadres;pourcentage_employes;pourcentage_enfants;pourcentage_femmes;pourcentage_hommes;pourcentage_jeunes_adultes;pourcentage_ouvriers;pourcentage_prof_inter;pourcentage_seniors
1;1;1;2996;0.1869793296;0.3640925763;0.0014429502;0.0270961872;0.2514713827;0.1227289528;0.1273563447;0.1378337266;0.5328964203;0.4670964715;0.2731582838;0.1045961161;0.1252452304;0.2248940889
2;2;2;2995;0.1678429725;0.3533567844;0.0003225153;0.0138081559;0.2042122001;0.0771861663;0.1434443136;0.1748483053;0.5271925416;0.472799958;0.2903612922;0.1256609689;0.1154004815;0.181411117
3;3;3;2990;0.1952917616;0.3269020114;0.0006585889;0.0165117639;0.2207415173;0.0794607636;0.1343588503;0.1506690053;0.5424285801;0.4575646996;0.3137436745;0.1193524324;0.1234921339;0.2086651479
4;4;4;3011;0.1450394124;0.4088049711;0.0006137205;0.0220268119;0.1348842562;0.0620624844;0.1631441668;0.2214476132;0.5125620913;0.4874283194;0.206104601;0.1492012044;0.119742621;0.1636140465
5;5;5;3002;0.1852363241;0.350909138;0.0003279283;0.018899024;0.2180550402;0.0875050699;0.1339241795;0.1472570526;0.5279990335;0.4719923368;0.2953770744;0.1200044874;0.1268305733;0.206430846
6;6;6;2982;0.1572938901;0.3670566711;0.0009899791;0.0273685354;0.265594259;0.1276655291;0.1332795876;0.1366923003;0.5325878554;0.4674079675;0.3128751582;0.1103596924;0.1388101036;0.1833591619
7;7;7;3007;0.1656943727;0.4204353812;0.0005506797;0.0284632593;0.2978403029;0.2405007744;0.1087248322;0.1708655997;0.5348218895;0.4651695061;0.194596455;0.0872827396;0.1298485631;0.2140853554
8;8;8;2992;0.1939564701;0.3603065167;0.0002276818;0.0178018741;0.1846286296;0.0778956506;0.154916149;0.1535714032;0.5157420649;0.48425082;0.2769749621;0.1333361794;0.1125957865;0.2091186578
9;9;9;3003;0.1971082698;0.3347182264;0.0002297942;0.0177676873;0.2353000653;0.0940869357;0.1362955337;0.1292822148;0.5310176206;0.4689731876;0.3220979291;0.1145202357;0.1264419586;0.2138648626
10;10;10;2994;0.1911433983;0.3481487262;0.0002128309;0.018807154;0.2204005477;0.0849266088;0.1490596423;0.1354952219;0.5283739013;0.4716190044;0.3088388658;0.1304440361;0.1110977106;0.207495903
11;11;11;2991;0.1937602194;0.3509349122;0.0006329448;0.0201948942;0.2220844981;0.0964119943;0.1384237038;0.1309272641;0.5293264413;0.4706669656;0.3033981223;0.1200617121;0.1440279023;0.2147199219
12;12;12;2989;0.1719623437;0.3417903242;0.0002540909;0.0198762577;0.2595982823;0.1359259071;0.1234055798;0.1466485415;0.5164333266;0.4835603212;0.3112676593;0.1048442423;0.1284111698;0.2002680659
