Ville;Adultes;Enfants;Jeunes_adultes;Seniors;Population_totale;ID
Aix-en-Provence     ;51222;19391;38429;31639;140684;2996
Amiens              ;47112;23312;38713;24187;133327;2995
Angers              ;48644;22420;46686;31050;148803;2990
Argenteuil          ;42631;23093;21493;17062;104282;3011
Besançon            ;40663;17064;34228;23921;115879;3002
Bordeaux            ;87873;32724;74902;43896;239399;2982
Boulogne-Billancourt;48863;19858;22616;24881;116220;3007
Brest               ;50640;21584;38928;29391;140547;2992
Caen                ;36415;14065;35042;23267;108793;3003
Clermont-Ferrand    ;49074;19099;43533;29248;140957;2994
Dijon               ;53227;19858;46017;32567;151672;2991
Grenoble            ;53806;23086;49001;31527;157424;2989
Le Havre            ;64147;31841;37957;40208;174156;2984
Le Mans             ;52549;23908;31636;35143;143240;2993
Lille               ;77269;35144;82771;32345;227533;2986
Limoges             ;48818;20010;34974;33952;137758;2997
Lyon                ;181456;76074;142048;91687;491268;2976
Marseille           ;328198;154997;170050;197387;850636;2975
Metz                ;45718;18934;31624;23683;119962;3001
Montpellier         ;92784;41176;82781;47794;264538;2981
Montreuil           ;45615;21269;19579;16600;103068;3013
Mulhouse            ;41611;23262;23801;21674;110351;3005
Nancy               ;35696;12776;38329;18578;105382;3009
Nantes              ;105923;44830;84558;52530;287845;2979
Nice                ;128351;53471;65251;96988;344064;2978
Nîmes               ;52476;25926;30736;35799;144940;2998
Orléans             ;41649;20631;30568;21332;114185;3004
Paris               ;938871;323379;531045;456676;2249975;2974
Perpignan           ;42489;21376;23324;31046;118238;3008
Reims               ;64670;30001;51045;35033;180752;2985
Rennes              ;71112;28029;70976;37913;208033;2983
Roubaix             ;34210;24752;21420;13800;94186;3010
Rouen               ;38894;15666;35933;21057;111553;3006
Saint-Étienne       ;59370;27799;38520;44357;170049;2987
Strasbourg          ;99391;46315;77731;48781;272222;2980
Toulon              ;61731;26657;29779;45804;163974;2988
Toulouse            ;163702;63976;142434;77225;447340;2977
Tourcoing           ;34941;21848;20111;15115;92018;3012
Tours               ;45277;19201;40329;29821;134633;2999
Villeurbanne        ;51948;25295;41814;25975;145034;3000
