Departement;ID;Ville;Region;Magasin;Commerce_detail;Commerce_detail_frais;Commerce_divers;Station_service
13;2996;Aix-en-Provence     ;93;749;127;146;241;15
80;2995;Amiens              ;32;378;69;136;100;11
49;2990;Angers              ;52;485;72;130;146;11
95;3011;Argenteuil          ;11;160;76;107;62;10
25;3002;Besançon            ;27;458;73;131;142;12
33;2982;Bordeaux            ;75;1185;238;255;409;13
92;3007;Boulogne-Billancourt;11;357;92;97;130;4
29;2992;Brest               ;53;432;74;114;109;12
14;3003;Caen                ;28;427;80;146;121;8
63;2994;Clermont-Ferrand    ;84;568;91;136;198;18
21;2991;Dijon               ;27;486;87;156;157;14
38;2989;Grenoble            ;84;697;137;195;209;6
76;2984;Le Havre            ;28;387;126;187;134;14
72;2993;Le Mans             ;52;391;66;150;145;18
59;2986;Lille               ;32;985;243;243;293;12
87;2997;Limoges             ;75;445;82;119;146;21
69;2976;Lyon                ;84;2085;467;556;717;19
13;2975;Marseille           ;93;2759;907;1079;1005;65
57;3001;Metz                ;44;469;91;137;136;14
34;2981;Montpellier         ;76;796;273;347;284;20
93;3013;Montreuil           ;11;169;132;111;69;6
68;3005;Mulhouse            ;44;406;107;120;105;11
54;3009;Nancy               ;44;423;79;122;130;7
44;2979;Nantes              ;52;861;171;263;303;16
6;2978;Nice                ;93;1429;453;517;606;30
30;2998;Nîmes               ;76;590;171;216;175;20
45;3004;Orléans             ;24;396;82;91;115;7
75;2974;Paris               ;11;14114;3378;3016;5885;58
66;3008;Perpignan           ;76;539;138;160;169;15
51;2985;Reims               ;44;429;107;183;154;16
35;2983;Rennes              ;53;654;112;162;200;17
59;3010;Roubaix             ;32;318;139;141;82;3
76;3006;Rouen               ;28;665;109;155;198;8
67;2980;Strasbourg          ;44;905;196;234;287;15
83;2988;Toulon              ;93;460;100;221;202;7
31;2977;Toulouse            ;76;1219;374;462;465;35
59;3012;Tourcoing           ;32;152;80;105;59;4
37;2999;Tours               ;24;496;78;140;136;14
69;3000;Villeurbanne        ;84;211;103;140;94;7
