Departement;ID;Ville;Region;Universite;Ecole_ingenieurs;Ecole_commerce;Restaurant_universitaire;Residence_universitaire;Classe_preparatoire
13;2996;Aix-en-Provence     ;93;4;3;5;7;17;4
80;2995;Amiens              ;32;2;1;5;4;23;0
49;2990;Angers              ;52;2;6;3;6;13;5
95;3011;Argenteuil          ;11;1;0;0;0;0;0
25;3002;Besançon            ;27;2;3;2;4;3;0
33;2982;Bordeaux            ;75;2;2;12;4;12;10
92;3007;Boulogne-Billancourt;11;0;0;2;1;1;0
29;2992;Brest               ;53;5;5;3;3;3;1
14;3003;Caen                ;28;2;2;2;4;7;4
63;2994;Clermont-Ferrand    ;84;4;0;1;2;12;2
21;2991;Dijon               ;27;8;3;2;4;6;0
38;2989;Grenoble            ;84;3;3;4;4;12;0
76;2984;Le Havre            ;28;3;2;1;2;5;0
72;2993;Le Mans             ;52;2;3;2;2;2;1
59;2986;Lille               ;32;2;10;13;7;8;11
87;2997;Limoges             ;75;4;3;1;3;12;1
69;2976;Lyon                ;84;2;3;19;15;19;19
13;2975;Marseille           ;93;7;7;5;12;18;6
57;3001;Metz                ;44;1;4;3;2;5;5
34;2981;Montpellier         ;76;2;7;8;13;24;9
93;3013;Montreuil           ;11;1;0;1;0;0;0
68;3005;Mulhouse            ;44;2;2;1;1;4;2
54;3009;Nancy               ;44;2;5;1;5;7;2
44;2979;Nantes              ;52;3;6;7;10;24;9
6;2978;Nice                ;93;6;0;4;4;7;10
30;2998;Nîmes               ;76;4;1;2;8;5;1
45;3004;Orléans             ;24;4;2;1;4;11;1
75;2974;Paris               ;11;4;23;79;54;78;33
66;3008;Perpignan           ;76;2;0;1;4;8;3
51;2985;Reims               ;44;4;1;1;3;8;2
35;2983;Rennes              ;53;3;8;4;7;18;6
59;3010;Roubaix             ;32;2;1;5;1;3;0
76;3006;Rouen               ;28;3;0;0;1;3;0
67;2980;Strasbourg          ;44;2;4;4;7;9;10
83;2988;Toulon              ;93;3;1;0;0;0;1
31;2977;Toulouse            ;76;15;11;4;9;20;24
59;3012;Tourcoing           ;32;1;0;1;0;2;1
37;2999;Tours               ;24;1;1;1;6;11;4
69;3000;Villeurbanne        ;84;1;3;0;5;8;1
