IDVille;Ville;Population;Date_extraction;Prix_appartement_min;Prix_appartement_max;Prix_appartement_moyen;Prix_maison_min;Prix_maison_max;Prix_maison_moyen
2996;Aix-en-Provence     ;134222;2018-11-15 00:45:21;Non disponible;Non disponible;Non disponible;Non disponible;Non disponible;Non disponible
2995;Amiens              ;135501;2018-11-15 00:45:19;1372          ;2744          ;1829          ;1372          ;2744          ;1829          
2990;Angers              ;151279;2018-11-15 00:45:29;1572          ;3145          ;2097          ;1572          ;3145          ;2097          
3011;Argenteuil          ;93961;2018-11-15 00:45:14;1889          ;4353          ;2954          ;1889          ;4353          ;2954          
3002;Besançon            ;117733;2018-11-15 00:45:16;1442          ;2884          ;1922          ;1442          ;2884          ;1922          
2982;Bordeaux            ;215363;2018-11-15 00:45:50;3006          ;6011          ;4007          ;3006          ;6011          ;4007          
3007;Boulogne-Billancourt;106367;2018-11-15 00:45:18;5541          ;16115         ;9240          ;5541          ;16115         ;9240          
2992;Brest               ;149634;2018-11-15 00:45:23;1213          ;2426          ;1617          ;1213          ;2426          ;1617          
3003;Caen                ;113987;2018-11-15 00:45:16;1722          ;3445          ;2297          ;1722          ;3445          ;2297          
2994;Clermont-Ferrand    ;137140;2018-11-15 00:45:23;Non disponible;Non disponible;Non disponible;Non disponible;Non disponible;Non disponible
2991;Dijon               ;149867;2018-11-15 00:45:31;1765          ;3530          ;2353          ;1765          ;3530          ;2353          
2989;Grenoble            ;153317;2018-11-15 00:45:32;1898          ;3797          ;2531          ;1898          ;3797          ;2531          
2984;Le Havre            ;190905;2018-11-15 00:45:36;1312          ;2624          ;1750          ;1312          ;2624          ;1750          
2993;Le Mans             ;146105;2018-11-15 00:45:23;Non disponible;Non disponible;Non disponible;Non disponible;Non disponible;Non disponible
2986;Lille               ;184657;2018-11-15 00:45:47;1685          ;3371          ;2247          ;1685          ;3371          ;2247          
2997;Limoges             ;133968;2018-11-15 00:45:20;1067          ;2134          ;1422          ;1067          ;2134          ;1422          
2976;Lyon                ;445452;2018-11-14 22:53:39;3162          ;6155          ;4764          ;3162          ;6155          ;4764          
