Ville;Agriculteurs;Artisans_Commercants;Autres;Cadres;Employes;Ouvriers;Professions_intermediaires;Retraites;Population_totale;ID
Aix-en-Provence     ;203;3812;35378;17266;17917;14715;17620;26305;140684;2996
Amiens              ;43;1841;27227;10291;19125;16754;15386;22378;133327;2995
Angers              ;98;2457;32847;11824;19993;17760;18376;29060;148803;2990
Argenteuil          ;64;2297;14066;6472;17013;15559;12487;15125;104282;3011
Besançon            ;38;2190;25268;10140;15519;13906;14697;21465;115879;3002
Bordeaux            ;237;6552;63583;30563;31907;26420;33231;37656;239399;2982
Boulogne-Billancourt;64;3308;34615;27951;12636;10144;15091;19257;116220;3007
Brest               ;32;2502;25949;10948;21773;18740;15825;27260;140547;2992
Caen                ;25;1933;25599;10236;14828;12459;13756;21444;108793;3003
Clermont-Ferrand    ;30;2651;31067;11971;21011;18387;15660;26943;140957;2994
Dijon               ;96;3063;33684;14623;20995;18210;21845;29388;151672;2991
Grenoble            ;40;3129;40867;21398;19427;16505;20215;27071;157424;2989
Le Havre            ;33;2426;22954;8181;25470;24334;18396;37326;174156;2984
Le Mans             ;37;2519;21303;9636;20680;18356;17649;33610;143240;2993
Lille               ;44;3707;64349;28048;29571;25348;29660;29029;227533;2986
Limoges             ;141;2542;23870;9408;18864;16914;16734;31630;137758;2997
Lyon                ;179;10563;126128;72962;63976;52288;72660;78538;491268;2976
Marseille           ;263;19770;138984;62161;117481;104992;93268;170407;850636;2975
Metz                ;30;2093;22660;10321;18538;16687;14361;20922;119962;3001
Montpellier         ;140;5961;62056;24354;36542;31283;32937;41063;264538;2981
Montreuil           ;20;2171;18879;11789;15519;14345;13030;13945;103068;3013
Mulhouse            ;13;1897;14427;5140;13858;13837;9243;19186;110351;3005
Nancy               ;20;2155;31117;13084;13930;11527;14375;16102;105382;3009
Nantes              ;101;6005;68909;34617;37695;32583;40922;47592;287845;2979
Nice                ;269;11374;51110;23608;51504;44856;37590;83301;344064;2978
Nîmes               ;216;3511;21518;8387;21013;19007;14742;31490;144940;2998
Orléans             ;57;1926;22041;11245;15773;14481;14653;19226;114185;3004
Paris               ;1191;61833;702512;533734;254807;203256;289974;348758;2249975;2974
Perpignan           ;203;3493;15498;5529;15012;13595;9878;27968;118238;3008
Reims               ;223;2893;34312;13618;26840;24178;21131;31874;180752;2985
Rennes              ;63;3613;57315;24263;26867;22755;25631;35148;208033;2983
Roubaix             ;10;1622;12962;3212;11550;11445;6589;12421;94186;3010
Rouen               ;75;1993;26401;12489;15341;12561;15628;19002;111553;3006
Saint-Étienne       ;46;3492;25648;9689;21598;20047;17987;40798;170049;2987
Strasbourg          ;76;5064;62740;29068;35277;31407;31632;42365;272222;2980
Toulon              ;40;3962;20169;8710;26284;22711;16996;38351;163974;2988
Toulouse            ;171;9641;119101;62488;60320;50560;62122;66407;447340;2977
Tourcoing           ;12;1536;11444;3688;12903;12838;8628;14254;92018;3012
Tours               ;35;2359;28732;11609;19032;16249;16757;27230;134633;2999
Villeurbanne        ;28;2797;29395;13631;21799;19130;20205;23467;145034;3000
