idVille;year_;month_;ville;prix_moyen_mois_maison_vente;prix_moyen_mois_appart_location;prix_moyen_mois_appart_vente;prix_moyen_mois_maison_location;rendement_maison;rendement_appart
3010;2018.0;11;Roubaix;1733.9383333337;13.6;1733.9383333337;13.6;9.4120994307;9.4120994307
3010;2018.0;12;Roubaix;1674.6125000005;13.86;1674.6125000005;13.86;9.9318499056;9.9318499056
2984;2019.0;1;Le Havre;2006.8366666669;16.0666666667;2006.8366666669;16.0666666667;9.6071595264;9.6071595264
2996;2019.0;1;Aix-en-Provence;3053.2233333334;19.8;3053.2233333334;19.8;7.7819397424;7.7819397424
3004;2018.0;10;Orléans;2197.3700000001;12.9;2281.1499999999;12.1;6.6078994434;6.7860508954
2992;2018.0;10;Brest;2864.7999999999;10.9;1583.5;8.9;3.7280089361;8.2601831386
2980;2018.0;10;Strasbourg;2046.8999999999;14.9;1665.48;12.9;7.5626557233;10.7356437784
2980;2018.0;11;Strasbourg;3754.2266666673;14.8333333333;3754.2266666673;14.8333333333;4.7413226692;4.7413226692
2980;2018.0;12;Strasbourg;3686.9325000008;15.22;3686.9325000008;15.22;4.9537115203;4.9537115203
2988;2019.0;1;Toulon;2879.2866666663;13.7333333333;2879.2866666663;13.7333333333;5.723639883;5.723639883
3010;2018.0;10;Roubaix;2435.6299999999;14.9;1733.81;10.6;5.2224681089;10.3125486645
3012;2018.0;12;Tourcoing;1953.6549999995;12.38;1953.6549999995;12.38;7.604208522;7.604208522
2992;2018.0;11;Brest;1610.7874999992;10.2857142857;1610.7874999992;10.2857142857;7.6626228741;7.6626228741
3004;2018.0;12;Orléans;2362.7525000001;12.84;2362.7525000001;12.84;6.5212077863;6.5212077863
2992;2018.0;12;Brest;1626.08;10.52;1626.08;10.52;7.7634556725;7.7634556725
3004;2018.0;11;Orléans;2350.2749999997;12.6666666667;2350.2749999997;12.6666666667;6.4673282914;6.4673282914
2979;2019.0;1;Nantes;4233.9199999996;15.8;4233.9199999996;15.8;4.4781195677;4.4781195677
2981;2018.0;11;Montpellier;3745.9716666684;15.85;3745.9716666684;15.85;5.0774543143;5.0774543143
3009;2018.0;12;Nancy;3242.8150000003;12.52;3242.8150000003;12.52;4.6330117506;4.6330117506
2995;2019.0;1;Amiens;2339.6966666667;16.4;2339.6966666667;16.4;8.41134677;8.41134677
3009;2018.0;11;Nancy;2228.8933333334;12.35;2228.8933333334;12.35;6.6490395832;6.6490395832
2981;2018.0;10;Montpellier;1963.54;10.2;3780.3600000001;14.0;8.5559754321;3.2377868774
3007;2019.0;1;Boulogne-Billancourt;7418.8133333314;30.6666666667;7418.8133333314;30.6666666667;4.9603620345;4.9603620345
3012;2018.0;11;Tourcoing;1864.949999999;12.2666666667;1864.949999999;12.2666666667;7.892973002;7.892973002
3012;2018.0;10;Tourcoing;2435.6299999999;12.5;1733.81;9.6;4.7297824382;8.6514670004
2981;2018.0;12;Montpellier;3799.774999998;15.98;3799.774999998;15.98;5.0466146022;5.0466146022
3008;2019.0;1;Perpignan;1702.9000000003;10.9;1702.9000000003;10.9;7.6810147396;7.6810147396
2997;2019.0;1;Limoges;1838.6033333339;10.7;1838.6033333339;10.7;6.9835617978;6.9835617978
2983;2018.0;10;Rennes;1963.54;14.5;3588.3200000001;13.0;7.9448343298;4.8490658581
2983;2018.0;11;Rennes;3726.3233333313;16.1333333333;3726.3233333313;16.1333333333;5.1954697079;5.1954697079
3009;2018.0;10;Nancy;1723.02;12.3;1540.77;8.9;6.1984190549;9.5796257715
2989;2018.0;12;Grenoble;2925.8475000001;14.88;2925.8475000001;14.88;6.1028471238;6.1028471238
3011;2018.0;11;Argenteuil;3286.0233333325;19.2666666667;3286.0233333325;19.2666666667;7.0358599604;7.0358599604
3002;2019.0;1;Besançon;2090.2366666663;12.4666666667;2090.2366666663;12.4666666667;7.1570842855;7.1570842855
3011;2018.0;12;Argenteuil;3265.6875000001;19.34;3265.6875000001;19.34;7.106619969;7.106619969
2989;2018.0;10;Grenoble;2742.2000000001;16.7;2546.19;11.3;4.9449347239;7.8705831065
2989;2018.0;11;Grenoble;2887.7216666693;15.0833333333;2887.7216666693;15.0833333333;6.267917095;6.267917095
3011;2018.0;10;Argenteuil;3402.6600000001;31.85;2993.3849999998;21.4;7.5470367301;12.7681537791
2989;2019.0;1;Grenoble;2749.0866666667;15.4333333333;2749.0866666667;15.4333333333;6.736782883;6.736782883
2991;2018.0;12;Dijon;2401.9199999995;13.96;2401.9199999995;13.96;6.9744204636;6.9744204636
3000;2018.0;12;Villeurbanne;3927.3349999985;15.4;3927.3349999985;15.4;4.7054809432;4.7054809432
2991;2018.0;11;Dijon;2360.7700000017;13.6142857143;2360.7700000017;13.6142857143;6.9202602783;6.9202602783
3000;2018.0;11;Villeurbanne;3757.7566666658;15.3166666667;3757.7566666658;15.3166666667;4.8912161245;4.8912161245
2991;2018.0;10;Dijon;2864.7999999999;13.7;2131.9700000001;11.4;4.7752024574;7.7111779246
3007;2018.0;10;Boulogne-Billancourt;8856.3299999987;37.25;6093.3299999996;23.65;3.2044876377;7.3358902275
3000;2018.0;10;Villeurbanne;2843.96;15.3;2279.21;16.2;6.8355391778;8.0554227123
3007;2018.0;12;Boulogne-Billancourt;8460.5999999995;31.1;8460.5999999995;31.1;4.4110346784;4.4110346784
3007;2018.0;11;Boulogne-Billancourt;8596.3999999998;31.2;8596.3999999998;31.2;4.3553115258;4.3553115258
2977;2019.0;1;Toulouse;4169.116666667;15.7333333333;4169.116666667;15.7333333333;4.5285372201;4.5285372201
2983;2019.0;1;Rennes;10854.2866666691;17.8;10854.2866666691;17.8;1.9678861132;1.9678861132
3006;2018.0;12;Rouen;2655.5549999982;14.6;2655.5549999982;14.6;6.59749092;6.59749092
3006;2018.0;11;Rouen;2580.705;14.45;2580.705;14.45;6.719094201;6.719094201
2994;2019.0;1;Clermont-Ferrand;2401.0133333339;12.3;2401.0133333339;12.3;6.1474044292;6.1474044292
3001;2018.0;10;Metz;2132.29;15.3;2127.6200000001;9.6;5.4026422297;8.6293605061
2978;2019.0;1;Nice;5475.4100000002;22.0333333333;5475.4100000002;22.0333333333;4.8288621309;4.8288621309
2986;2018.0;10;Lille;2435.6299999999;14.9;1706.93;7.7;3.793679664;10.4749462485
3001;2018.0;11;Metz;2260.8566666665;13.3;2260.8566666665;13.3;7.0592710433;7.0592710433
2986;2018.0;11;Lille;3482.883333333;16.1666666667;3482.883333333;16.1666666667;5.5700975724;5.5700975724
3001;2018.0;12;Metz;2297.1300000006;12.8;2297.1300000006;12.8;6.6866045892;6.6866045892
3006;2018.0;10;Rouen;1954.77;14.7;2510.4;11.0;6.7527125953;7.0267686424
2982;2018.0;10;Bordeaux;4402.2300000002;17.5;2034.2799999999;15.8;4.3069080898;10.3230627052
2982;2018.0;11;Bordeaux;5340.3799999985;19.8833333333;5340.3799999985;19.8833333333;4.4678468573;4.4678468573
2982;2018.0;12;Bordeaux;5290.6074999998;23.94;5290.6074999998;23.94;5.430000241;5.430000241
3013;2019.0;1;Montreuil;3649.619999999;23.8;3649.619999999;23.8;7.8254722409;7.8254722409
3003;2019.0;1;Caen;2621.0533333335;14.0;2621.0533333335;14.0;6.4096368381;6.4096368381
2999;2018.0;11;Tours;2552.1016666661;15.0833333333;2552.1016666661;15.0833333333;7.09219395;7.09219395
2999;2018.0;12;Tours;2422.7425000005;19.38;2422.7425000005;19.38;9.5990391055;9.5990391055
2992;2019.0;1;Brest;1638.2999999998;10.6;1638.2999999998;10.6;7.7641457609;7.7641457609
2990;2018.0;10;Angers;2197.3700000001;11.9;2346.6000000001;9.2;5.0241880066;6.0854001534
2990;2018.0;11;Angers;2417.914999999;12.05;2417.914999999;12.05;5.9803591111;5.9803591111
2999;2018.0;10;Tours;1963.54;14.2;2546.19;13.4;8.1892907708;6.6923521026
2990;2018.0;12;Angers;2427.3124999995;12.88;2427.3124999995;12.88;6.3675361125;6.3675361125
