Departement;ID;Ville;Region;Poste;Ecole_conduite;Veterinaire;Agence_immobiliere;Esthetique;Sécurité_justice;Banques;Restaurant;Réparation_travaux;Pôle_emploi
13;2996;Aix-en-Provence     ;93;12;39;34;441;399;7;136;874;1144;12
80;2995;Amiens              ;32;11;45;14;141;259;7;77;424;506;10
49;2990;Angers              ;52;17;53;14;204;275;7;115;471;447;5
95;3011;Argenteuil          ;11;9;31;3;80;159;2;29;342;1392;1
25;3002;Besançon            ;27;11;40;6;157;237;7;89;416;474;4
33;2982;Bordeaux            ;75;31;71;33;800;665;14;214;2085;1789;6
92;3007;Boulogne-Billancourt;11;9;18;13;445;216;3;69;583;719;1
29;2992;Brest               ;53;13;38;13;122;253;5;89;328;578;16
14;3003;Caen                ;28;16;36;15;163;282;6;113;489;443;8
63;2994;Clermont-Ferrand    ;84;15;48;12;178;308;6;165;678;844;7
21;2991;Dijon               ;27;13;47;22;192;350;6;121;581;653;6
38;2989;Grenoble            ;84;14;36;16;268;420;6;128;1072;907;5
76;2984;Le Havre            ;28;21;40;16;121;335;12;98;512;537;4
72;2993;Le Mans             ;52;12;52;12;165;318;5;109;365;552;4
59;2986;Lille               ;32;20;52;25;349;431;10;181;1659;1054;11
87;2997;Limoges             ;75;18;34;14;167;279;11;85;429;526;6
69;2976;Lyon                ;84;44;143;57;1021;1252;17;350;3006;2505;9
13;2975;Marseille           ;93;72;187;84;1356;1789;6;409;3814;7336;76
57;3001;Metz                ;44;12;23;10;144;286;13;86;558;772;3
34;2981;Montpellier         ;76;20;68;45;526;644;7;163;1504;2848;2
93;3013;Montreuil           ;11;8;22;7;77;137;1;35;478;2018;1
68;3005;Mulhouse            ;44;11;31;8;107;268;5;64;486;577;5
54;3009;Nancy               ;44;14;40;9;153;251;11;79;550;431;4
44;2979;Nantes              ;52;24;65;47;644;540;6;214;1346;1230;7
6;2978;Nice                ;93;32;94;54;1280;1300;6;226;2333;5886;16
30;2998;Nîmes               ;76;11;42;22;186;353;7;90;760;1420;5
45;3004;Orléans             ;24;11;30;13;144;242;9;88;372;467;2
75;2974;Paris               ;11;197;368;207;8292;6585;77;1865;20375;24698;31
66;3008;Perpignan           ;76;16;40;23;325;326;5;78;656;1142;2
51;2985;Reims               ;44;17;60;23;168;364;6;104;505;820;8
35;2983;Rennes              ;53;23;48;17;285;321;6;162;803;609;15
59;3010;Roubaix             ;32;9;28;3;59;143;3;33;422;837;4
76;3006;Rouen               ;28;14;29;13;189;299;10;88;666;596;5
67;2980;Strasbourg          ;44;29;71;27;454;576;8;198;1286;1282;5
83;2988;Toulon              ;93;14;54;28;276;435;5;88;740;1576;3
31;2977;Toulouse            ;76;39;88;57;1129;935;17;266;2083;3059;12
59;3012;Tourcoing           ;32;7;21;7;44;142;5;22;286;621;2
37;2999;Tours               ;24;17;32;12;246;293;7;119;555;459;3
69;3000;Villeurbanne        ;84;10;42;6;109;259;2;55;475;1325;3
