Ville;Femmes;Hommes;Population_totale;ID
Aix-en-Provence     ;74970;65713;140684;2996
Amiens              ;70289;63037;133327;2995
Angers              ;80715;68087;148803;2990
Argenteuil          ;53451;50830;104282;3011
Besançon            ;61184;54694;115879;3002
Bordeaux            ;127501;111897;239399;2982
Boulogne-Billancourt;62157;54062;116220;3007
Brest               ;72486;68060;140547;2992
Caen                ;57771;51021;108793;3003
Clermont-Ferrand    ;74478;66478;140957;2994
Dijon               ;80284;71387;151672;2991
Grenoble            ;81299;76124;157424;2989
Le Havre            ;92290;81865;174156;2984
Le Mans             ;76171;67068;143240;2993
Lille               ;118930;108602;227533;2986
Limoges             ;73594;64163;137758;2997
Lyon                ;261263;230004;491268;2976
Marseille           ;449233;401402;850636;2975
Metz                ;61765;58196;119962;3001
Montpellier         ;141098;123439;264538;2981
Montreuil           ;51667;51400;103068;3013
Mulhouse            ;56917;53433;110351;3005
Nancy               ;55980;49401;105382;3009
Nantes              ;151228;136616;287845;2979
Nice                ;183931;160132;344064;2978
Nîmes               ;77063;67876;144940;2998
Orléans             ;59727;54457;114185;3004
Paris               ;1190023;1059951;2249975;2974
Perpignan           ;63231;55006;118238;3008
Reims               ;95466;85285;180752;2985
Rennes              ;109674;98358;208033;2983
Roubaix             ;48579;45606;94186;3010
Rouen               ;58823;52729;111553;3006
Saint-Étienne       ;90293;79755;170049;2987
Strasbourg          ;143101;129120;272222;2980
Toulon              ;86635;77338;163974;2988
Toulouse            ;231212;216127;447340;2977
Tourcoing           ;48041;43976;92018;3012
Tours               ;72880;61752;134633;2999
Villeurbanne        ;74799;70234;145034;3000
