Departement;ID;Ville;Region;Cinema;Conservatoire;Musee;Theatre;Sports
13;2996;Aix-en-Provence     ;93;4;1;7;5;210
80;2995;Amiens              ;32;3;1;3;4;217
49;2990;Angers              ;52;2;1;5;3;360
95;3011;Argenteuil          ;11;2;1;1;2;77
25;3002;Besançon            ;27;3;1;5;4;149
33;2982;Bordeaux            ;75;4;1;7;8;149
92;3007;Boulogne-Billancourt;11;2;1;4;1;75
29;2992;Brest               ;53;4;1;2;1;306
14;3003;Caen                ;28;3;1;5;3;149
63;2994;Clermont-Ferrand    ;84;5;1;3;4;171
21;2991;Dijon               ;27;4;1;7;3;233
38;2989;Grenoble            ;84;6;1;6;6;189
76;2984;Le Havre            ;28;3;1;5;4;229
72;2993;Le Mans             ;52;5;1;3;3;235
59;2986;Lille               ;32;4;1;3;9;220
87;2997;Limoges             ;75;3;1;2;6;210
69;2976;Lyon                ;84;16;1;12;18;336
13;2975;Marseille           ;93;11;1;15;19;654
57;3001;Metz                ;44;2;2;2;2;237
34;2981;Montpellier         ;76;5;1;5;12;267
93;3013;Montreuil           ;11;1;1;1;3;67
68;3005;Mulhouse            ;44;3;1;7;3;118
54;3009;Nancy               ;44;5;1;4;3;105
44;2979;Nantes              ;52;5;1;4;6;376
6;2978;Nice                ;93;8;1;13;3;186
30;2998;Nîmes               ;76;3;1;6;3;193
45;3004;Orléans             ;24;3;1;3;4;105
75;2974;Paris               ;11;88;18;56;140;1242
66;3008;Perpignan           ;76;2;1;5;1;175
51;2985;Reims               ;44;2;1;4;4;342
35;2983;Rennes              ;53;4;1;3;5;172
59;3010;Roubaix             ;32;1;1;1;3;87
76;3006;Rouen               ;28;3;1;8;4;115
67;2980;Strasbourg          ;44;5;2;10;7;318
83;2988;Toulon              ;93;2;1;3;3;132
31;2977;Toulouse            ;76;6;1;8;10;576
59;3012;Tourcoing           ;32;2;1;1;2;72
37;2999;Tours               ;24;3;1;5;3;136
69;3000;Villeurbanne        ;84;1;1;0;4;108
