Departement;ID;Ville;Region;Agence_voyage;Aeroport;Camping;Gare;Hotel;Information_Touristique;Taxi
13;2996;Aix-en-Provence     ;93;62;0;2;2;47;21;85
80;2995;Amiens              ;32;16;0;1;2;20;7;35
49;2990;Angers              ;52;35;0;1;2;29;13;18
95;3011;Argenteuil          ;11;12;0;0;2;5;6;467
25;3002;Besançon            ;27;15;0;0;2;24;4;33
33;2982;Bordeaux            ;75;88;0;0;2;74;67;137
92;3007;Boulogne-Billancourt;11;58;0;0;0;20;38;235
29;2992;Brest               ;53;17;0;1;1;31;4;42
14;3003;Caen                ;28;19;0;0;1;35;14;21
63;2994;Clermont-Ferrand    ;84;26;0;0;3;42;10;54
21;2991;Dijon               ;27;31;0;1;2;43;24;40
38;2989;Grenoble            ;84;41;0;0;1;32;15;30
76;2984;Le Havre            ;28;18;1;0;2;28;5;86
72;2993;Le Mans             ;52;31;1;0;1;25;3;33
59;2986;Lille               ;32;86;0;0;7;54;22;183
87;2997;Limoges             ;75;19;1;1;2;43;8;32
69;2976;Lyon                ;84;222;0;0;6;112;74;354
13;2975;Marseille           ;93;200;0;0;12;108;101;725
57;3001;Metz                ;44;36;0;1;2;26;4;39
34;2981;Montpellier         ;76;59;0;0;1;62;32;102
93;3013;Montreuil           ;11;21;0;0;0;5;17;391
68;3005;Mulhouse            ;44;21;0;1;3;18;4;21
54;3009;Nancy               ;44;22;0;0;1;24;11;26
44;2979;Nantes              ;52;78;0;1;3;57;28;115
6;2978;Nice                ;93;144;1;0;14;177;96;667
30;2998;Nîmes               ;76;28;0;1;2;33;11;45
45;3004;Orléans             ;24;23;0;0;1;24;7;38
75;2974;Paris               ;11;1766;0;1;34;1573;1457;4959
66;3008;Perpignan           ;76;27;1;1;1;37;18;33
51;2985;Reims               ;44;30;0;0;3;45;11;69
35;2983;Rennes              ;53;51;0;1;3;37;19;37
59;3010;Roubaix             ;32;18;0;0;1;5;2;23
76;3006;Rouen               ;28;29;0;0;1;39;15;35
67;2980;Strasbourg          ;44;73;0;1;2;78;44;194
83;2988;Toulon              ;93;15;0;0;1;20;9;44
31;2977;Toulouse            ;76;112;0;2;10;103;46;208
59;3012;Tourcoing           ;32;6;0;0;1;5;4;37
37;2999;Tours               ;24;30;1;0;1;44;12;34
69;3000;Villeurbanne        ;84;15;0;0;0;6;6;133
